PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zaza Pachulia,ATL,28,6-11,275,None,Georgia,2003,2,42,58,7.8,7.9,1.4,2.9,9.80%,19.30%,13.90%,55.70%,7.40%
Zach Randolph,MEM,30,6-9,260,Michigan State,USA,2001,1,19,28,11.6,8,1.7,8.6,10.80%,21.50%,21.90%,50.00%,10.80%
Yi Jianlian,DAL,24,7-0,250,None,China,2007,1,6,30,2.6,1.6,0.2,-14.7,5.50%,17.30%,21.60%,43.30%,4.70%
Xavier Silas,PHI,24,6-5,205,Northern Illinois,USA,2011,,,2,5.5,2,1.5,-17.5,3.60%,5.30%,20.70%,33.70%,15.80%
Xavier Henry,NOH,21,6-6,220,Kansas,USA,2010,1,12,45,5.3,2.4,0.8,-1.8,3.40%,11.00%,18.40%,45.00%,8.10%
Wilson Chandler,DEN,25,6-8,225,DePaul,USA,2007,1,23,8,9.4,5.1,2.1,-4.1,3.10%,16.10%,20.70%,44.50%,11.30%
Willie Green,ATL,30,6-3,201,Detroit,USA,2003,2,41,53,7.6,1.5,0.8,-4.4,1.70%,7.30%,19.10%,57.80%,8.30%
Will Bynum,DET,29,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,36,5.7,1.6,1.8,-2.1,1.90%,9.40%,24.00%,45.90%,24.10%
Wesley Matthews,POR,25,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,66,13.7,3.4,1.7,1.3,2.50%,8.00%,18.50%,53.90%,8.30%
Wesley Johnson,MIN,24,6-7,215,Syracuse,USA,2010,1,4,65,6,2.7,0.9,-5.4,1.60%,10.30%,14.10%,47.70%,6.20%
Wayne Ellington,MIN,24,6-4,200,North Carolina,USA,2009,1,28,51,6.1,1.9,0.6,-1.5,1.40%,8.60%,15.60%,48.70%,5.70%
Walker Russell,DET,29,6-0,170,Jacksonville State,USA,1982,4,78,28,3,0.9,2.1,-9.8,2.00%,5.60%,16.90%,40.10%,27.10%
Von Wafer,ORL,26,6-5,209,Florida State,USA,2005,2,39,33,5.9,1.4,0.9,-5.5,1.30%,9.00%,21.40%,53.70%,12.20%
Vladimir Radmanovic,ATL,31,6-10,235,None,Serbia,2001,1,12,49,4.5,2.9,1.1,2.6,4.60%,14.50%,14.60%,52.40%,11.50%
Vince Carter,DAL,35,6-6,220,North Carolina,USA,1998,1,5,61,10.1,3.4,2.3,7,2.10%,11.10%,20.00%,51.90%,14.30%
Vernon Macklin,DET,25,6-10,227,Florida,USA,2011,2,52,23,2,1.5,0.2,3.2,9.70%,14.70%,14.20%,55.90%,5.70%
Udonis Haslem,MIA,32,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,64,6,7.3,0.7,3.8,7.80%,22.00%,13.30%,47.90%,4.30%
Tyson Chandler,NYK,29,7-1,240,None,USA,2001,1,2,62,11.3,9.9,0.9,3.2,10.50%,19.60%,12.90%,70.80%,4.40%
Tyrus Thomas,CHA,25,6-10,225,Louisiana State,USA,2006,1,4,54,5.6,3.7,0.6,-14.6,4.80%,15.80%,18.90%,41.80%,5.90%
Tyreke Evans,SAC,22,6-6,220,Memphis,USA,2009,1,4,63,16.5,4.6,4.5,-6.8,2.80%,10.70%,23.50%,51.20%,21.90%
Tyler Honeycutt,SAC,21,6-8,188,UCLA,USA,2011,2,35,15,1.3,0.9,0.5,-1.4,3.10%,12.60%,13.30%,38.20%,10.60%
Tyler Hansbrough,IND,26,6-9,250,North Carolina,USA,2009,1,13,66,9.3,4.4,0.5,-0.4,7.60%,12.70%,20.80%,51.10%,3.80%
Ty Lawson,DEN,24,5-11,195,North Carolina,USA,2009,1,18,61,16.4,3.7,6.6,3.2,2.60%,8.30%,20.80%,57.90%,30.30%
Troy Murphy,LAL,32,6-11,245,Notre Dame,USA,2001,1,14,59,3.2,3.2,0.9,0.8,4.50%,15.60%,9.80%,53.70%,8.10%
