PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Tacko Fall,BOS,24,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,7,3.3,2.1,0.1,12.7,3.60%,32.60%,25.00%,75.10%,6.70%
Boban Marjanovic,DAL,31,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted,44,6.6,4.5,0.5,5.5,15.80%,29.80%,25.80%,61.20%,7.30%
Kristaps Porzingis,DAL,24,7-3,240,None,Latvia,2015,1,4,57,20.4,9.5,1.8,6.9,5.20%,22.10%,26.30%,55.10%,8.80%
Anzejs Pasecniks,WAS,24,7-2,229,None,Latvia,2017,1,25,27,5.8,4,0.7,0.2,8.60%,15.30%,15.10%,55.10%,5.80%
Bol Bol,DEN,20,7-2,220,Oregon,Sudan,2019,2,44,7,5.7,2.7,0.9,-9.8,5.70%,17.10%,20.60%,61.70%,10.30%
Luke Kornet,CHI,24,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,36,6,2.3,0.9,-3.6,3.70%,11.80%,16.30%,53.90%,8.20%
Moses Brown,POR,20,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted,9,1.2,1.6,0.1,-50.9,7.30%,32.40%,20.00%,40.70%,4.80%
Jakob Poeltl,SAS,24,7-1,245,Utah,Austria,2016,1,9,66,5.6,5.7,1.8,5.7,10.80%,19.40%,12.50%,61.20%,12.60%
Rudy Gobert,UTA,28,7-1,258,None,France,2013,1,27,68,15.1,13.5,1.5,6.2,10.40%,27.60%,16.20%,69.90%,6.50%
Alex Len,SAC,27,7-0,250,Maryland,Ukraine,2013,1,5,55,8,5.8,0.9,-5.4,9.40%,20.20%,17.60%,60.00%,8.30%
Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10,68,12,4.6,1.5,12,3.10%,11.80%,18.10%,55.10%,7.30%
Cody Zeller,CHA,27,7-0,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,-8.3,11.00%,19.70%,20.10%,57.60%,11.10%
Dewayne Dedmon,ATL,30,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,44,5.8,5.7,0.5,-0.7,7.50%,24.10%,17.90%,47.30%,4.10%
Dragan Bender,GSW,22,7-0,249,None,Croatia,2016,1,4,16,6.7,4.6,1.8,1.1,6.00%,18.30%,18.00%,54.50%,14.20%
Frank Kaminsky,PHX,27,7-0,240,Wisconsin,USA,2015,1,9,39,9.7,4.5,1.9,-1,4.30%,17.90%,20.40%,54.50%,14.40%
Hassan Whiteside,POR,31,7-0,265,Marshall,USA,2010,2,33,67,15.5,13.5,1.2,2.7,12.30%,29.40%,19.20%,64.40%,5.80%
Isaiah Hartenstein,HOU,22,7-0,250,None,Germany,2017,2,43,23,4.7,3.9,0.8,8.7,10.70%,20.00%,14.40%,67.40%,9.50%
Ivica Zubac,LAC,23,7-0,240,None,Croatia,2016,2,32,72,8.3,7.5,1.1,8.9,14.00%,24.00%,16.30%,65.10%,9.10%
JaVale McGee,LAL,32,7-0,270,Nevada-Reno,USA,2008,1,18,68,6.6,5.7,0.5,5.8,11.10%,21.80%,14.50%,65.20%,4.40%
Joel Embiid,PHI,26,7-0,280,Kansas,Cameroon,2014,1,3,51,23,11.6,3,5.2,9.10%,27.90%,31.50%,59.00%,17.80%
Jusuf Nurkic,POR,25,7-0,290,None,Bosnia and He...,2014,1,16,8,17.6,10.3,4,-0.5,8.70%,24.30%,23.20%,56.70%,17.90%
Lauri Markkanen,CHI,23,7-0,240,Arizona,Finland,2017,1,7,50,14.7,6.3,1.5,-2,3.80%,17.40%,20.90%,56.00%,7.70%
Meyers Leonard,MIA,28,7-0,260,Illinois,USA,2012,1,11,51,6.1,5.1,1.1,4.5,3.00%,21.40%,12.10%,62.70%,7.50%
Mitchell Robinson,NYK,22,7-0,240,Western Kentucky,USA,2018,2,36,61,9.7,7,0.6,-2.9,12.20%,16.00%,12.90%,72.60%,3.90%
