PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Mike Conley,MEM,23,6-1,185,Ohio State,USA,2007,1,4,81,13.7,3,6.5,5.4,1.20%,7.90%,19.40%,52.10%,27.30%
Mike Bibby,MIA,33,6-2,195,Arizona,USA,1998,1,2,80,8.6,2.4,3.3,3.2,0.80%,8.20%,14.40%,57.00%,17.30%
Mickael Pietrus,PHX,29,6-6,215,None,France,2003,1,11,57,7.2,2.2,0.6,-0.7,1.40%,10.00%,17.80%,52.60%,5.20%
Michael Redd,MIL,31,6-6,215,Ohio State,USA,2000,2,43,10,4.4,0.8,1.2,3.4,0.00%,6.30%,17.30%,47.00%,13.20%
Michael Beasley,MIN,22,6-10,235,Kansas State,USA,2008,1,2,73,19.2,5.6,2.2,-5.6,4.80%,12.20%,27.90%,51.00%,11.80%
Metta World Peace,LAL,31,6-7,260,St. John's,USA,1999,1,16,82,8.5,3.3,2.1,9.1,4.30%,6.90%,15.00%,48.50%,10.30%
Melvin Ely,DEN,33,6-10,261,Fresno State,USA,2002,1,12,30,2.3,2.5,0.5,1.7,7.80%,13.10%,9.10%,57.30%,5.20%
Mehmet Okur,UTA,32,6-11,265,None,Turkey,2001,2,37,13,4.9,2.3,1.5,-8.7,5.60%,16.90%,20.90%,45.20%,17.90%
Maurice Evans,WAS,32,6-5,220,Texas,USA,Undrafted,Undrafted,Undrafted,73,6.3,2.1,0.6,-8.2,3.20%,7.00%,13.70%,51.30%,4.60%
Maurice Ager,MIN,27,6-5,202,Michigan State,USA,2006,1,28,4,3.8,0.5,0.3,-8.6,0.00%,8.00%,20.80%,68.20%,6.30%
Matt Carroll,CHA,30,6-6,212,Notre Dame,USA,Undrafted,Undrafted,Undrafted,54,4.4,1.3,0.4,-6.8,2.10%,10.60%,18.50%,53.00%,6.80%
Matt Bonner,SAS,31,6-10,235,Florida,USA,2003,2,45,66,7.3,3.6,0.9,8.8,4.60%,12.70%,13.40%,61.70%,6.30%
Matt Barnes,LAL,31,6-7,226,UCLA,USA,2002,2,45,53,6.7,4.3,1.3,1.5,7.20%,14.40%,16.20%,56.90%,11.20%
Marvin Williams,ATL,25,6-9,240,North Carolina,USA,2005,1,2,65,10.4,4.8,1.4,-0.7,4.00%,14.00%,17.00%,55.10%,7.60%
Martell Webster,MIN,24,6-7,235,None,USA,2005,1,6,46,9.8,3.2,1.2,-10.5,3.10%,10.80%,17.70%,57.50%,7.90%
Marreese Speights,PHI,23,6-10,255,Florida,USA,2008,1,16,64,5.4,3.3,0.5,4.2,9.40%,19.70%,22.20%,53.20%,6.90%
Marquis Daniels,BOS,30,6-6,200,Auburn,USA,Undrafted,Undrafted,Undrafted,49,5.5,2.3,1.3,0.2,2.90%,10.20%,14.60%,52.70%,11.30%
Mario West,NJN,27,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,6,3.7,1.8,1.7,0.2,1.70%,10.10%,9.80%,47.40%,12.30%
Mario Chalmers,MIA,25,6-2,190,Kansas,USA,2008,2,34,70,6.4,2.1,2.5,8.4,0.80%,8.30%,14.60%,53.80%,17.20%
Marcus Thornton,SAC,24,6-4,205,Louisiana State,USA,2009,2,43,73,12.8,3.5,1.8,-3.1,3.40%,11.50%,24.10%,52.50%,13.30%
Marcus Cousin,UTA,24,6-11,245,Houston,USA,Undrafted,Undrafted,Undrafted,4,1,0.8,0,-40.5,0.00%,18.80%,8.90%,66.70%,0.00%
Marcus Camby,POR,37,6-11,235,Massachusetts,USA,1996,1,2,59,4.7,10.3,2.1,1.3,12.20%,31.30%,11.60%,42.60%,11.40%
Marcus Banks,TOR,29,6-2,205,UNLV,USA,2003,1,13,3,2,0.3,1,19.6,0.00%,4.80%,14.80%,54.30%,18.80%
Marco Belinelli,NOH,25,6-5,200,None,Italy,2007,1,18,80,10.5,1.9,1.2,1.6,0.90%,7.70%,19.50%,56.00%,7.70%
Marcin Gortat,PHX,27,6-11,240,None,Poland,2005,2,57,80,10.2,7.9,0.9,0.5,7.60%,23.90%,17.30%,59.40%,5.70%
Marc Gasol,MEM,26,7-1,265,None,Spain,2007,2,48,81,11.7,7,2.5,2.6,6.30%,17.20%,16.80%,58.00%,11.70%
