PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Boban Marjanovic,DET,28,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,35,5.5,3.7,0.3,4.8,14.50%,28.50%,23.90%,60.60%,5.40%
Edy Tavares,CLE,25,7-3,265,None,Cabo Verde,2014,2,43,2,4,5.5,0.5,17.5,13.80%,22.60%,13.30%,63.30%,7.10%
Kristaps Porzingis,NYK,21,7-3,240,None,Latvia,2015,1,4,66,18.1,7.2,1.5,-2.4,5.00%,15.90%,24.00%,54.60%,7.30%
Alexis Ajinca,NOP,29,7-2,248,None,France,2008,1,20,39,5.3,4.5,0.3,-5.1,7.60%,20.00%,16.60%,52.90%,3.10%
Roy Hibbert,DEN,30,7-2,270,Georgetown,USA,2008,1,17,48,4.6,3.2,0.4,-2,7.70%,12.70%,13.60%,61.40%,4.80%
Salah Mejri,DAL,31,7-2,245,None,Tunisia,Undrafted,Undrafted,Undrafted,73,2.9,4.2,0.2,-0.5,10.90%,25.40%,10.50%,65.00%,2.50%
Alex Len,PHX,24,7-1,260,Maryland,Ukraine,2013,1,5,77,8,6.6,0.6,-11.1,9.10%,22.20%,17.40%,55.30%,4.30%
Dragan Bender,PHX,19,7-1,225,None,Croatia,2016,1,4,43,3.4,2.4,0.5,-1.3,3.90%,13.50%,14.50%,44.00%,5.70%
Georgios Papagiannis,SAC,19,7-1,240,None,Greece,2016,1,13,22,5.6,3.9,0.9,-5,7.80%,16.90%,16.50%,57.30%,8.50%
Ivica Zubac,LAL,20,7-1,240,None,Croatia,2016,2,32,38,7.5,4.2,0.8,-10.5,6.50%,18.80%,20.10%,54.70%,7.80%
Marc Gasol,MEM,32,7-1,255,None,Spain,2007,2,48,74,19.5,6.3,4.6,1,2.40%,16.70%,26.20%,55.40%,24.60%
Meyers Leonard,POR,25,7-1,255,Illinois,USA,2012,1,11,74,5.4,3.2,1,-1.9,2.20%,17.10%,15.40%,50.70%,8.50%
Rudy Gobert,UTA,25,7-1,245,None,France,2013,1,27,81,14,12.8,1.2,8.3,12.40%,25.90%,16.60%,68.10%,5.70%
Spencer Hawes,MIL,29,7-1,245,Washington,USA,2007,1,10,54,6.2,3.5,1.5,-11.2,4.60%,18.70%,19.30%,56.20%,17.40%
Thon Maker,MIL,20,7-1,223,None,South Sudan,2016,1,10,57,4,2,0.4,-1.6,7.50%,14.50%,18.10%,55.80%,6.90%
Timofey Mozgov,LAL,30,7-1,275,None,Russia,Undrafted,Undrafted,Undrafted,54,7.4,4.9,0.8,-8.7,8.80%,14.60%,16.80%,55.30%,6.10%
Tyson Chandler,PHX,34,7-1,240,None,USA,2001,1,2,47,8.4,11.5,0.6,-3.1,11.40%,30.60%,11.20%,70.30%,3.30%
AJ Hammons,DAL,24,7-0,260,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.3,4.50%,17.20%,16.50%,47.20%,3.80%
Andrew Bogut,CLE,32,7-0,260,Utah,Australia,2005,1,1,27,2.9,8.1,1.8,-2.2,9.60%,28.60%,10.40%,46.00%,13.30%
Brook Lopez,BKN,29,7-0,268,Stanford,USA,2008,1,10,75,20.5,5.4,2.3,-3.8,5.30%,11.60%,28.60%,57.80%,14.30%
