PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Cody Zeller,CHA,24,7-0,240,Indiana,USA,2013,1,4,62,10.3,6.5,1.6,6,7.60%,15.70%,15.30%,60.40%,8.70%
Damian Jones,GSW,22,7-0,245,Vanderbilt,USA,2016,1,30,10,1.9,2.3,0,-17.2,10.10%,19.20%,13.50%,46.60%,0.00%
Dewayne Dedmon,SAS,27,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,76,5.1,6.5,0.6,8,10.00%,26.60%,11.80%,64.50%,4.90%
Dirk Nowitzki,DAL,39,7-0,245,None,Germany,1998,1,9,54,14.2,6.5,1.5,-1.3,1.60%,23.80%,24.60%,52.90%,9.90%
Donatas Motiejunas,NOP,26,7-0,222,None,Lithuania,2011,1,20,34,4.4,3,0.9,-11.1,5.20%,16.00%,16.80%,47.00%,9.60%
Frank Kaminsky,CHA,24,7-0,240,Wisconsin,USA,2015,1,9,75,11.7,4.5,2.2,0.4,2.90%,14.10%,21.60%,50.20%,13.10%
Hassan Whiteside,MIA,28,7-0,265,Marshall,USA,2010,2,33,77,17,14.1,0.7,2,11.50%,31.30%,22.30%,57.90%,3.70%
JaVale McGee,GSW,29,7-0,270,Nevada-Reno,USA,2008,1,18,77,6.1,3.2,0.2,20.1,13.80%,16.70%,22.10%,64.20%,3.20%
Jakob Poeltl,TOR,21,7-0,230,Utah,Austria,2016,1,9,54,3.1,3.1,0.2,-0.1,11.80%,15.00%,11.70%,58.90%,3.00%
Jason Smith,WAS,31,7-0,240,Colorado State,USA,2007,1,20,74,5.7,3.5,0.5,0.1,6.10%,17.80%,16.60%,59.80%,5.20%
Jeff Withey,UTA,27,7-0,231,Kansas,USA,2013,2,39,51,2.9,2.4,0.1,-2.8,12.10%,15.90%,13.90%,58.80%,2.50%
Joel Embiid,PHI,23,7-0,250,Kansas,Cameroon,2014,1,3,31,20.2,7.8,2.1,4.1,8.00%,21.80%,35.60%,58.40%,17.40%
Jonas Valanciunas,TOR,25,7-0,255,None,Lithuania,2011,1,5,80,12,9.5,0.7,2,11.20%,26.40%,19.30%,60.10%,4.30%
Justin Hamilton,BKN,27,7-0,255,Louisiana State,USA,2012,2,45,64,6.9,4.1,0.9,-11.7,5.70%,15.20%,15.80%,55.00%,7.40%
Jusuf Nurkic,POR,22,7-0,280,None,Bosnia and He...,2014,1,16,65,10.2,7.2,1.9,-1.4,10.80%,21.20%,23.20%,52.80%,14.20%
Karl-Anthony Towns,MIN,21,7-0,244,Kentucky,USA,2015,1,1,82,25.1,12.3,2.7,-0.3,10.10%,24.70%,27.10%,61.80%,12.70%
Kelly Olynyk,BOS,26,7-0,238,Gonzaga,Canada,2013,1,13,75,9,4.8,2,-0.1,4.60%,18.10%,18.50%,60.30%,15.90%
Kosta Koufos,SAC,28,7-0,265,Ohio State,USA,2008,1,23,71,6.6,5.7,0.7,-5.5,8.40%,20.20%,15.10%,56.00%,5.30%
Lucas Nogueira,TOR,24,7-0,220,None,Brazil,2013,1,16,57,4.4,4.3,0.7,8.6,7.70%,13.90%,9.30%,68.20%,5.30%
Marshall Plumlee,NYK,24,7-0,250,Duke,USA,Undrafted,Undrafted,Undrafted,21,1.9,2.4,0.5,2.8,12.40%,16.30%,12.10%,52.10%,8.20%
Mike Tobey,CHA,22,7-0,260,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1,1.5,0.5,-32.7,8.00%,3.70%,9.80%,25.00%,9.10%
Nikola Vucevic,ORL,26,7-0,260,Southern California,Montenegro,2011,1,16,75,14.6,10.4,2.8,-3.5,7.70%,27.20%,24.10%,49.80%,15.70%
Omer Asik,NOP,30,7-0,255,None,Turkey,2008,2,36,31,2.7,5.3,0.5,-5.8,9.20%,22.80%,8.60%,51.70%,4.40%
Pau Gasol,SAS,36,7-0,250,None,Spain,2001,1,3,64,12.4,7.8,2.3,6.8,6.90%,24.50%,21.30%,57.80%,14.30%
Robin Lopez,CHI,29,7-0,255,Stanford,USA,2008,1,15,81,10.4,6.4,1,1.4,10.20%,12.00%,17.20%,51.10%,5.40%
Stephen Zimmerman,ORL,20,7-0,240,UNLV,USA,2016,2,41,19,1.2,1.8,0.2,-16.9,8.50%,24.70%,14.20%,34.60%,5.60%
Steven Adams,OKC,23,7-0,255,Pittsburgh,New Zealand,2013,1,12,80,11.3,7.7,1.1,4.2,11.00%,13.60%,15.90%,58.90%,5.40%
Tyler Zeller,BOS,27,7-0,253,North Carolina,USA,2012,1,17,51,3.5,2.4,0.8,-0.5,7.80%,14.30%,15.90%,50.80%,12.50%
Willie Cauley-Stein,SAC,23,7-0,240,Kentucky,USA,2015,1,6,75,8.1,4.5,1.1,-6.9,6.20%,18.00%,19.50%,55.80%,9.30%
Anderson Varejao,GSW,34,6-11,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-13.1,12.00%,16.50%,12.00%,47.80%,15.20%
Andre Drummond,DET,23,6-11,279,Connecticut,USA,2012,1,9,81,13.6,13.8,1.1,-5.6,13.20%,34.10%,22.20%,51.80%,6.00%
Anthony Davis,NOP,24,6-11,253,Kentucky,USA,2012,1,1,75,28,11.8,2.1,1.1,6.20%,24.10%,32.10%,58.00%,11.00%
Bobby Portis,CHI,22,6-11,246,Arkansas,USA,2015,1,22,64,6.8,4.6,0.5,-3.4,7.00%,22.00%,19.00%,54.50%,5.90%
Channing Frye,CLE,34,6-11,255,Arizona,USA,2005,1,8,74,9.1,3.9,0.6,1.2,2.70%,17.20%,19.30%,61.20%,5.00%
Christian Wood,CHA,21,6-11,220,UNLV,USA,Undrafted,Undrafted,Undrafted,13,2.7,2.2,0.2,7.5,12.80%,12.80%,15.00%,59.10%,3.10%
Cole Aldrich,MIN,28,6-11,250,Kansas,USA,2010,1,11,62,1.7,2.5,0.4,-1.6,9.80%,21.20%,9.10%,54.90%,6.30%
Daniel Ochefu,WAS,23,6-11,245,Villanova,USA,Undrafted,Undrafted,Undrafted,19,1.3,1.2,0.2,-21,6.50%,25.80%,17.70%,43.00%,7.00%
DeAndre Jordan,LAC,28,6-11,265,Texas A&M,USA,2008,2,35,81,12.7,13.8,1.2,8.9,12.20%,30.50%,15.20%,67.30%,5.40%
DeMarcus Cousins,NOP,26,6-11,270,Kentucky,USA,2010,1,5,72,27,11,4.6,-0.9,6.40%,27.30%,35.90%,56.20%,26.20%
Diamond Stone,LAC,20,6-11,255,Maryland,USA,2016,2,40,7,1.4,0.9,0,-52.9,3.60%,18.50%,30.90%,33.90%,0.00%
Domantas Sabonis,OKC,21,6-11,240,Gonzaga,Lithuania,2016,1,11,81,5.9,3.6,1,1.7,2.70%,14.60%,15.60%,46.90%,7.30%
Dwight Howard,ATL,31,6-11,265,None,USA,2004,1,1,74,13.5,12.7,1.4,-2,13.30%,27.80%,19.00%,62.70%,7.60%
Dwight Powell,DAL,25,6-11,240,Stanford,Canada,2014,2,45,77,6.7,4,0.6,-5.4,6.90%,17.90%,16.20%,58.80%,6.20%
Enes Freedom,OKC,25,6-11,245,None,Turkey,2011,1,3,72,14.3,6.7,0.9,1.3,12.60%,18.50%,27.10%,59.90%,7.80%
Giannis Antetokounmpo,MIL,22,6-11,222,None,Greece,2013,1,15,80,22.9,8.8,5.4,1.1,5.20%,19.90%,28.00%,59.90%,26.90%
Gorgui Dieng,MIN,27,6-11,240,Louisville,Senegal,2013,1,21,82,10,7.9,1.9,0.8,7.30%,18.10%,14.00%,55.50%,8.60%
Greg Monroe,MIL,27,6-11,265,Georgetown,USA,2010,1,7,81,11.7,6.6,2.3,4,9.90%,20.80%,23.80%,57.20%,16.50%
Henry Ellenson,DET,20,6-11,245,Marquette,USA,2016,1,18,19,3.2,2.2,0.4,-2,5.00%,21.70%,23.40%,44.40%,7.40%
Ian Mahinmi,WAS,30,6-11,262,None,France,2005,1,28,31,5.6,4.8,0.6,2.7,8.50%,18.40%,13.80%,60.10%,5.00%
Jahlil Okafor,PHI,21,6-11,275,Duke,USA,2015,1,3,50,11.8,4.8,1.2,-13.7,6.70%,14.50%,24.40%,54.60%,9.70%
Joakim Noah,NYK,32,6-11,230,Florida,USA,2007,1,9,46,5,8.8,2.2,-6.4,14.60%,22.90%,12.40%,49.10%,13.80%
Joffrey Lauvergne,CHI,25,6-11,220,None,France,2013,2,55,70,5.4,3.6,1,-3.6,6.90%,18.20%,18.50%,50.90%,11.00%
John Henson,MIL,26,6-11,229,North Carolina,USA,2012,1,14,58,6.8,5.1,1,-1.9,8.40%,17.90%,16.30%,55.00%,7.60%
LaMarcus Aldridge,SAS,31,6-11,260,Texas-Austin,USA,2006,1,2,72,17.3,7.3,1.9,6.2,7.60%,15.30%,24.80%,53.20%,10.00%
Larry Sanders,CLE,28,6-11,230,Va Commonwealth,USA,2010,1,15,5,0.8,0.8,0,-3.7,37.50%,7.70%,22.60%,41.00%,0.00%
Marcin Gortat,WAS,33,6-11,240,None,Poland,2005,2,57,82,10.8,10.4,1.5,3.5,9.30%,24.30%,14.60%,59.30%,6.50%
Mason Plumlee,DEN,27,6-11,255,Duke,USA,2013,1,22,81,10.4,7.5,3.5,0.7,8.00%,20.00%,18.00%,55.80%,18.70%
Mike Muscala,ATL,25,6-11,240,Bucknell,USA,2013,2,44,70,6.2,3.4,1.4,-2.9,5.90%,13.00%,14.50%,59.60%,12.10%
Miles Plumlee,CHA,28,6-11,249,Duke,USA,2012,1,26,45,2.5,2.1,0.5,-7.2,8.20%,11.20%,12.80%,51.80%,6.50%
Myles Turner,IND,21,6-11,243,Texas-Austin,USA,2015,1,11,81,14.5,7.3,1.3,2.8,5.90%,17.20%,19.50%,58.50%,6.50%
Nene,HOU,34,6-11,250,None,Brazil,2002,1,7,67,9.1,4.2,1,8.4,7.40%,14.70%,19.10%,63.00%,8.80%
Nerlens Noel,DAL,23,6-11,228,Kentucky,USA,2013,1,6,51,8.7,5.8,1,-3.3,9.00%,19.80%,17.10%,62.20%,7.80%
Ryan Kelly,ATL,26,6-11,230,Duke,USA,2013,2,48,16,1.6,1.1,0.5,2.6,0.90%,14.40%,14.20%,40.80%,11.60%
Skal Labissiere,SAC,21,6-11,225,Kentucky,Haiti,2016,1,28,33,8.8,4.9,0.8,-2.8,8.60%,17.50%,20.90%,57.70%,7.10%
Tiago Splitter,PHI,32,6-11,245,None,Brazil,2007,1,28,8,4.9,2.8,0.5,-3.2,8.80%,20.00%,21.40%,54.40%,8.90%
Willie Reed,MIA,27,6-11,245,St. Louis,USA,2011,0,0,71,5.3,4.7,0.4,1.9,11.90%,19.20%,15.00%,57.80%,4.00%
Willy Hernangomez,NYK,23,6-11,240,None,Spain,2015,2,35,72,8.2,7,1.3,-1.1,12.30%,23.70%,19.90%,56.40%,11.60%
Zaza Pachulia,GSW,33,6-11,275,None,Georgia,2003,2,42,70,6.1,5.9,1.9,15.7,11.50%,20.20%,15.00%,58.80%,13.10%
Adreian Payne,MIN,26,6-10,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,3.2,6.00%,17.90%,21.90%,50.50%,8.90%
Al Horford,BOS,31,6-10,245,Florida,Dominican Rep...,2007,1,3,68,14,6.8,5,4.8,4.40%,16.20%,19.60%,55.30%,23.90%
Al Jefferson,IND,32,6-10,289,None,USA,2004,1,15,66,8.1,4.2,0.9,-5.4,7.70%,22.50%,25.40%,52.60%,11.40%
Aron Baynes,DET,30,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,75,4.9,4.4,0.4,5.9,9.30%,18.30%,13.90%,57.00%,3.90%
Blake Griffin,LAC,28,6-10,251,Oklahoma,USA,2009,1,1,61,21.6,8.1,4.9,10.5,5.70%,18.10%,27.60%,56.90%,23.50%
Brandan Wright,MEM,29,6-10,210,North Carolina,USA,2007,1,8,28,6.8,2.8,0.5,4,6.90%,10.10%,16.10%,62.80%,6.00%
Brice Johnson,LAC,23,6-10,230,North Carolina,USA,2016,1,25,3,1.3,1,0.3,35,14.30%,22.20%,34.80%,28.60%,16.70%
Chandler Parsons,MEM,28,6-10,230,Florida,USA,2011,2,38,34,6.2,2.5,1.6,-4.5,0.90%,12.80%,18.10%,43.60%,12.20%
Chinanu Onuaku,HOU,20,6-10,245,Louisville,USA,2016,2,37,5,2.8,2,0.6,-41,4.20%,16.30%,10.50%,79.90%,8.60%
Chris Andersen,CLE,38,6-10,245,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,12,2.3,2.6,0.4,3.9,8.80%,17.20%,13.40%,49.70%,6.30%
Clint Capela,HOU,23,6-10,240,None,Switzerland,2014,1,25,65,12.6,8.1,1,7.4,11.30%,22.20%,19.90%,63.80%,6.60%
Damjan Rudez,ORL,31,6-10,228,None,Croatia,Undrafted,Undrafted,Undrafted,45,1.8,0.6,0.4,-12.2,1.40%,7.10%,13.40%,46.60%,10.10%
Danilo Gallinari,DEN,28,6-10,225,None,Italy,2008,1,6,63,18.2,5.2,2.1,3.4,1.80%,13.00%,19.80%,62.20%,9.00%
Dario Saric,PHI,23,6-10,223,None,Croatia,2014,1,12,81,12.8,6.3,2.2,-6.2,5.10%,18.30%,24.00%,50.80%,14.50%
Davis Bertans,SAS,24,6-10,210,None,Latvia,2011,2,42,67,4.5,1.5,0.7,5.6,2.70%,9.30%,14.80%,60.90%,8.40%
Derrick Favors,UTA,25,6-10,265,Georgia Tech,USA,2010,1,3,50,9.5,6.1,1.1,2.6,8.30%,18.50%,20.40%,51.20%,7.90%
Deyonta Davis,MEM,20,6-10,240,Michigan State,USA,2016,2,31,36,1.6,1.7,0.1,-6.4,7.70%,15.70%,11.30%,52.80%,1.50%
Ed Davis,POR,28,6-10,245,North Carolina,USA,2010,1,13,46,4.3,5.3,0.6,-6.8,11.40%,18.60%,11.80%,56.30%,5.00%
Ersan Ilyasova,ATL,30,6-10,235,None,Turkey,2005,2,36,82,13.1,5.9,1.7,-0.4,5.20%,16.30%,21.60%,54.60%,10.70%
Jarell Martin,MEM,23,6-10,239,Louisiana State,USA,2015,1,25,42,3.9,3.9,0.2,-5.4,6.70%,20.60%,15.60%,47.70%,2.50%
Jon Leuer,DET,28,6-10,228,Wisconsin,USA,2011,2,40,75,10.2,5.4,1.5,-2,4.90%,15.60%,16.90%,55.10%,8.80%
Jonas Jerebko,BOS,30,6-10,231,None,Sweden,2009,2,39,78,3.8,3.5,0.9,1.7,4.80%,16.40%,11.30%,53.70%,8.10%
Jordan Hill,MIN,29,6-10,240,Arizona,USA,2009,1,8,7,1.7,2,0,12.1,18.20%,12.20%,17.10%,43.20%,0.00%
Josh McRoberts,MIA,30,6-10,240,Duke,USA,2007,2,37,22,4.9,3.4,2.3,-9.2,5.80%,13.90%,17.10%,43.90%,20.00%
Justin Harper,PHI,27,6-10,225,Richmond,USA,2011,2,32,3,4,1.7,0.7,-18.1,6.10%,9.40%,20.80%,50.00%,10.00%
Kevin Love,CLE,28,6-10,251,UCLA,USA,2008,1,5,60,19,11.1,1.9,8.4,7.70%,26.70%,25.30%,57.30%,9.30%
Kevin Seraphin,IND,27,6-10,278,None,France,2010,1,17,49,4.7,2.9,0.5,-9.8,7.00%,18.10%,18.40%,55.90%,6.90%
Kyle O'Quinn,NYK,27,6-10,250,Norfolk State,USA,2012,2,49,79,6.3,5.6,1.5,-5.4,12.00%,21.90%,18.20%,55.20%,14.90%
Kyle Wiltjer,HOU,24,6-10,240,Gonzaga,Canada,Undrafted,Undrafted,Undrafted,14,0.9,0.7,0.1,-39.2,8.70%,13.60%,17.70%,43.70%,6.90%
Markieff Morris,WAS,27,6-10,245,Kansas,USA,2011,1,13,76,14,6.5,1.7,4.2,4.60%,16.20%,20.30%,54.00%,7.60%
Marquese Chriss,PHX,19,6-10,233,Washington,USA,2016,1,8,82,9.2,4.2,0.7,-9.5,5.20%,14.80%,19.40%,52.90%,5.10%
Marreese Speights,LAC,29,6-10,255,Florida,USA,2008,1,16,82,8.7,4.5,0.8,-0.9,6.90%,21.80%,23.40%,58.40%,8.50%
Michael Beasley,MIL,28,6-10,235,Kansas State,USA,2008,1,2,56,9.4,3.4,0.9,-1.9,4.50%,16.20%,24.30%,58.40%,9.60%
Nemanja Bjelica,MIN,29,6-10,225,None,Serbia,2010,2,35,65,6.2,3.8,1.2,0.5,4.70%,15.70%,15.90%,52.60%,10.20%
Nick Collison,OKC,36,6-10,255,Kansas,USA,2003,1,12,20,1.7,1.6,0.6,-14.9,5.90%,16.80%,9.70%,62.20%,17.10%
Nikola Jokic,DEN,22,6-10,250,None,Serbia,2014,2,41,73,16.7,9.8,4.9,6.5,10.60%,24.80%,23.10%,64.00%,26.60%
Nikola Mirotic,CHI,26,6-10,238,None,Montenegro,2011,1,23,70,10.6,5.5,1.1,5.4,3.60%,18.60%,19.40%,54.60%,6.90%
Richaun Holmes,PHI,23,6-10,245,Bowling Green,USA,2015,2,37,57,9.8,5.5,1,-7.2,7.90%,17.80%,18.40%,61.10%,8.10%
Ryan Anderson,HOU,29,6-10,240,California,USA,2008,1,21,72,13.6,4.6,0.9,8.9,5.20%,10.30%,17.80%,58.30%,4.60%
Serge Ibaka,TOR,27,6-10,235,None,Republic of t...,2008,1,24,79,14.8,6.8,0.9,-2.9,5.30%,16.90%,20.80%,56.60%,5.00%
Steve Novak,MIL,34,6-10,225,Marquette,USA,2006,2,32,8,0.6,0.4,0,-9.8,0.00%,13.60%,14.90%,35.70%,0.00%
Thomas Robinson,LAL,26,6-10,237,Kansas,USA,2012,1,5,48,5,4.6,0.6,-7.2,14.00%,26.30%,20.00%,53.50%,8.80%
Trey Lyles,UTA,21,6-10,234,Kentucky,Canada,2015,1,12,71,6.2,3.3,1,0.8,4.20%,15.80%,20.90%,46.40%,9.80%
Aaron Gordon,ORL,21,6-9,220,Arizona,USA,2014,1,4,80,12.7,5.1,1.9,-3.1,4.80%,12.40%,19.70%,53.00%,9.70%
Al-Farouq Aminu,POR,26,6-9,220,Wake Forest,USA,2010,1,8,61,8.7,7.4,1.6,0.9,4.40%,20.40%,15.50%,50.60%,8.20%
Amir Johnson,BOS,30,6-9,240,No College,USA,2005,2,56,80,6.5,4.6,1.8,7.7,7.40%,15.00%,13.60%,62.80%,12.50%
Andrew Nicholson,BKN,27,6-9,250,St. Bonaventure,Canada,2012,1,19,38,2.6,1.6,0.3,-17.7,4.50%,13.30%,17.20%,42.70%,4.70%
Arinze Onuaku,ORL,29,6-9,255,Syracuse,USA,Undrafted,Undrafted,Undrafted,8,0.5,0.8,0.3,-24.9,6.50%,16.70%,9.70%,50.00%,14.30%
Ben Bentil,DAL,22,6-9,235,Providence,Ghana,2016,2,51,3,0,0.7,0,-55.6,0.00%,20.00%,16.00%,0.00%,0.00%
Bismack Biyombo,ORL,24,6-9,255,None,DRC,2011,1,7,81,6,7,0.9,-8.6,8.30%,22.70%,13.40%,54.60%,6.50%
Brandon Ingram,LAL,19,6-9,190,Duke,USA,2016,1,2,79,9.4,4,2.1,-7.2,2.50%,11.40%,16.60%,47.40%,10.50%
Bruno Caboclo,TOR,21,6-9,205,None,Brazil,2014,1,20,9,1.6,1.1,0.4,-3.1,10.00%,12.50%,17.50%,43.80%,15.40%
Cheick Diallo,NOP,20,6-9,220,Kansas,Mali,2016,2,33,17,5.1,4.3,0.2,-12.1,10.60%,25.40%,19.80%,51.00%,3.10%
Chris McCullough,WAS,22,6-9,215,Syracuse,USA,2015,1,29,16,2.3,1.2,0.1,29.6,11.50%,11.80%,18.90%,52.60%,3.60%
Corey Brewer,LAL,31,6-9,186,Florida,USA,2007,1,7,82,4.5,2,1.2,4.2,2.40%,10.40%,14.30%,49.10%,10.40%
Cristiano Felicio,CHI,24,6-9,266,None,Brazil,Undrafted,Undrafted,Undrafted,66,4.8,4.7,0.6,-0.7,11.40%,17.60%,12.40%,60.30%,6.10%
Darrell Arthur,DEN,29,6-9,235,Kansas,USA,2008,1,27,41,6.4,2.7,1,-1.5,3.80%,13.30%,17.60%,58.30%,9.90%
David Lee,SAS,34,6-9,245,Florida,USA,2005,1,30,79,7.3,5.6,1.6,10.3,10.60%,18.90%,16.10%,61.30%,12.60%
David West,GSW,36,6-9,250,Xavier,USA,2003,1,18,68,4.6,3,2.2,8.5,6.30%,16.90%,19.10%,57.10%,26.00%
JaMychal Green,MEM,27,6-9,227,Alabama,USA,Undrafted,Undrafted,Undrafted,77,8.9,7.1,1.1,0.3,8.10%,18.60%,14.40%,60.10%,6.40%
Jake Layman,POR,23,6-9,210,Maryland,USA,2016,2,47,35,2.2,0.7,0.3,-0.9,2.20%,6.50%,18.60%,40.40%,7.20%
James Johnson,MIA,30,6-9,250,Wake Forest,USA,2009,1,16,76,12.8,4.9,3.6,3,3.10%,14.50%,21.50%,56.40%,21.00%
James Michael McAdoo,GSW,24,6-9,240,North Carolina,USA,Undrafted,Undrafted,Undrafted,52,2.8,1.8,0.3,-4.4,7.20%,11.50%,14.50%,54.30%,6.00%
Jared Sullinger,TOR,25,6-9,260,Ohio State,USA,2012,1,21,11,3.4,2.5,0.3,-13.9,6.80%,15.90%,19.90%,36.60%,4.80%
Jarnell Stokes,DEN,23,6-9,255,Tennessee,USA,2014,2,35,2,1.5,1,1,0,10.00%,14.30%,11.10%,79.80%,40.00%
Jarrod Uthoff,DAL,24,6-9,221,Iowa,USA,Undrafted,Undrafted,Undrafted,9,4.4,2.4,1,-27,5.90%,13.20%,16.90%,48.70%,14.10%
Jeff Green,ORL,30,6-9,235,Georgetown,USA,2007,1,5,69,9.2,3.1,1.2,-9.2,2.30%,10.90%,20.00%,50.50%,8.90%
Jerami Grant,OKC,23,6-9,210,Syracuse,USA,2014,2,39,80,5.5,2.6,0.6,-4.4,2.30%,10.60%,12.20%,55.60%,4.40%
Joel Anthony,SAS,34,6-9,245,UNLV,Canada,Undrafted,Undrafted,Undrafted,19,1.3,1.6,0.2,-3.7,6.00%,17.80%,8.60%,64.00%,4.10%
Joel Bolomboy,UTA,23,6-9,235,Weber State,Ukraine,2016,2,52,12,1.8,1.4,0.2,9.2,7.70%,22.00%,17.20%,59.00%,6.50%
Johnny O'Bryant III,CHA,24,6-9,257,Louisiana State,USA,2014,2,36,11,3.5,1.7,0.5,-17.5,11.30%,15.20%,20.50%,58.20%,12.50%
Juancho Hernangomez,DEN,21,6-9,230,None,Spain,2016,1,15,62,4.9,3,0.5,-2.2,4.70%,17.10%,13.90%,59.20%,4.80%
Julius Randle,LAL,22,6-9,250,Kentucky,USA,2014,1,7,74,13.2,8.6,3.6,-9.8,6.60%,23.10%,21.20%,54.30%,19.50%
Kevin Durant,GSW,28,6-9,240,Texas-Austin,USA,2007,1,2,62,25.1,8.3,4.8,15.7,2.00%,20.70%,27.10%,65.10%,21.80%
Kevon Looney,GSW,21,6-9,220,UCLA,USA,2015,1,30,53,2.5,2.3,0.5,-3.4,9.30%,16.40%,12.60%,55.30%,9.40%
Kris Humphries,ATL,32,6-9,235,Minnesota,USA,2004,1,14,56,4.6,3.7,0.5,-4.2,8.30%,21.40%,17.60%,51.40%,7.00%
Kyle Anderson,SAS,23,6-9,230,UCLA,USA,2014,1,30,72,3.4,2.9,1.3,9.1,3.40%,16.70%,11.80%,52.50%,12.60%
Larry Nance Jr.,LAL,24,6-9,230,Wyoming,USA,2015,1,27,63,7.1,5.9,1.5,-4.1,8.00%,18.00%,13.30%,56.70%,9.60%
Lavoy Allen,IND,28,6-9,260,Temple,USA,2011,2,50,61,2.9,3.6,0.9,-6.8,11.60%,13.40%,10.30%,48.50%,9.30%
Luis Scola,BKN,37,6-9,241,None,Argentina,2002,2,55,36,5.1,3.9,1,-8.6,10.50%,18.90%,18.00%,55.00%,12.40%
Luke Babbitt,MIA,28,6-9,225,Nevada-Reno,USA,2010,1,16,68,4.8,2.1,0.5,0,1.10%,11.60%,13.00%,56.30%,4.90%
Luol Deng,LAL,32,6-9,220,Duke,United Kingdo...,2004,1,7,56,7.6,5.3,1.3,-6.1,4.00%,15.50%,14.10%,47.00%,7.30%
Marcus Morris Sr.,DET,27,6-9,235,Kansas,USA,2011,1,14,79,14,4.6,2,-2,2.70%,11.60%,20.10%,50.80%,9.50%
Marvin Williams,CHA,31,6-9,237,North Carolina,USA,2005,1,2,76,11.2,6.6,1.4,-0.8,3.70%,18.00%,16.00%,55.10%,7.20%
