PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zoran Dragic,MIA,26,6-5,200,None,Slovenia,Undrafted,Undrafted,Undrafted,16,1.8,0.5,0.3,-8.9,6.00%,4.10%,20.80%,43.50%,11.60%
Zaza Pachulia,MIL,31,6-11,270,None,Georgia,2003,2,42,73,8.3,6.8,2.4,7.5,11.80%,18.30%,18.60%,50.60%,15.50%
Zach Randolph,MEM,33,6-9,260,Michigan State,USA,2001,1,19,71,16.1,10.5,2.2,6.8,10.30%,23.00%,24.00%,53.80%,11.10%
Zach LaVine,MIN,20,6-5,183,UCLA,USA,2014,1,13,77,10.1,2.8,3.6,-14.2,1.40%,10.30%,21.80%,51.50%,25.00%
Xavier Henry,LAL,24,6-6,220,Kansas,USA,2010,1,12,9,2.2,0.4,0.3,9.4,2.20%,2.70%,14.20%,42.40%,4.80%
Wilson Chandler,DEN,28,6-8,225,DePaul,USA,2007,1,23,78,13.9,6.1,1.7,-3.9,3.60%,15.50%,19.80%,52.30%,8.60%
Willie Green,ORL,33,6-3,205,Detroit,USA,2003,2,41,52,5.9,1.5,1.3,-4.9,1.50%,6.70%,17.20%,47.70%,12.10%
Will Cherry,TOR,24,-,-,Montana,USA,Undrafted,Undrafted,Undrafted,8,1.9,0.6,1,-3.6,1.40%,5.60%,16.50%,34.70%,17.40%
Will Bynum,WAS,32,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,7,3.1,0.9,2.6,-42.8,2.90%,6.10%,26.10%,33.60%,48.60%
Will Barton,DEN,24,6-6,175,Memphis,USA,2012,2,40,58,6.8,2.8,1.4,-0.7,2.40%,13.40%,19.70%,50.30%,13.50%
Wesley Matthews,POR,28,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,60,15.9,3.7,2.3,6.8,1.80%,8.50%,19.30%,58.60%,11.00%
Wesley Johnson,LAL,27,6-7,215,Syracuse,USA,2010,1,4,76,9.9,4.2,1.6,-6.7,2.90%,11.60%,16.10%,50.90%,8.40%
Wayne Ellington,LAL,27,6-4,200,North Carolina,USA,2009,1,28,65,10,3.2,1.6,-3.9,1.70%,10.50%,18.20%,50.40%,10.10%
Vince Carter,MEM,38,6-6,220,North Carolina,USA,1998,1,5,66,5.8,2,1.2,0.5,2.40%,9.60%,19.30%,44.50%,11.00%
Victor Oladipo,ORL,23,6-4,210,Indiana,USA,2013,1,2,72,17.9,4.2,4.1,-6.1,2.00%,10.20%,24.90%,52.70%,18.80%
Victor Claver,POR,26,6-9,224,None,Spain,2009,1,22,10,2.4,2,0.1,14.3,4.00%,22.70%,14.50%,60.00%,1.90%
Vander Blue,LAL,22,6-4,200,Marquette,USA,Undrafted,Undrafted,Undrafted,2,11,4.5,4,-25,2.10%,10.40%,20.20%,34.20%,17.80%
Udonis Haslem,MIA,35,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,62,4.2,4.2,0.7,-8.2,7.20%,19.50%,14.10%,48.80%,7.80%
Tyson Chandler,DAL,32,7-1,240,None,USA,2001,1,2,75,10.3,11.5,1.1,4.7,12.90%,24.40%,12.60%,69.70%,5.30%
Tyrus Thomas,MEM,28,6-10,225,Louisiana State,USA,2006,1,4,2,2,0,0.5,-8.7,0.00%,0.00%,12.50%,106.40%,20.00%
Tyreke Evans,NOP,25,6-6,220,Memphis,USA,2009,1,4,79,16.6,5.3,6.6,3.2,3.00%,12.70%,25.50%,50.80%,31.60%
Tyler Zeller,BOS,25,7-0,253,North Carolina,USA,2012,1,17,82,10.2,5.7,1.4,-2,8.10%,17.80%,19.50%,59.40%,10.60%
Tyler Johnson,MIA,23,6-3,190,Fresno State,USA,Undrafted,Undrafted,Undrafted,32,5.9,2.5,1.3,-4.7,2.30%,10.80%,16.10%,50.60%,11.50%
Tyler Hansbrough,TOR,29,6-9,250,North Carolina,USA,2009,1,13,74,3.6,3.6,0.3,10.3,10.60%,15.90%,10.40%,59.70%,2.90%
Tyler Ennis,MIL,20,6-3,175,Syracuse,Canada,2014,1,18,33,3.7,1.1,2.2,-7.3,1.60%,7.30%,19.90%,41.10%,27.80%
Ty Lawson,DEN,27,5-11,195,North Carolina,USA,2009,1,18,75,15.2,3.1,9.6,-0.3,1.50%,7.20%,20.30%,52.60%,40.80%
Troy Daniels,CHA,23,6-4,205,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,47,3.7,0.7,0.5,-10.8,1.80%,6.40%,20.30%,51.50%,11.10%
Tristan Thompson,CLE,24,6-9,238,Texas-Austin,Canada,2011,1,4,82,8.5,8,0.5,5.9,12.40%,17.40%,13.90%,58.00%,2.80%
Trey Burke,UTA,22,6-1,185,Michigan,USA,2013,1,9,76,12.8,2.7,4.3,-1.7,1.40%,7.70%,23.20%,45.50%,24.50%
Trevor Booker,UTA,27,6-8,230,Clemson,USA,2010,1,23,79,7.2,5,1.1,1,9.00%,16.70%,17.70%,53.60%,9.30%
Trevor Ariza,HOU,29,6-8,215,UCLA,USA,2004,2,43,82,12.8,5.6,2.5,4,2.60%,12.70%,16.30%,53.90%,11.20%
Travis Wear,NYK,24,6-10,225,UCLA,USA,Undrafted,Undrafted,Undrafted,51,3.9,2.1,0.8,-6.2,4.70%,11.60%,17.20%,45.10%,10.40%
Toure' Murry,UTA,25,6-5,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,5,1.2,0.2,0.2,0,5.90%,0.00%,25.00%,51.00%,11.10%
Tony Wroten,PHI,22,6-6,205,Washington,USA,2012,1,25,30,16.9,2.9,5.2,-12.7,2.30%,7.30%,30.00%,49.40%,33.80%
Tony Snell,CHI,23,6-7,200,New Mexico,USA,2013,1,20,72,6,2.4,0.9,2.2,2.10%,9.60%,13.90%,55.00%,6.80%
Tony Parker,SAS,33,6-2,185,None,France,2001,1,28,68,14.4,1.9,4.9,4.7,0.80%,5.90%,24.20%,53.90%,27.80%
Tony Allen,MEM,33,6-4,213,Oklahoma State,USA,2004,1,25,63,8.6,4.4,1.4,8.5,6.50%,10.60%,16.20%,52.80%,8.10%
Toney Douglas,NOP,29,6-2,195,Florida State,USA,2009,1,29,12,4.3,1.8,2,2.4,1.20%,11.10%,18.00%,45.00%,21.40%
Tobias Harris,ORL,22,6-9,235,Tennessee,USA,2011,1,19,68,17.1,6.3,1.8,-6.1,3.10%,15.40%,22.20%,55.10%,8.80%
Timofey Mozgov,CLE,28,7-1,250,None,Russia,Undrafted,Undrafted,Undrafted,81,9.7,7.3,0.7,6.7,10.00%,18.60%,16.60%,59.40%,4.00%
Tim Hardaway Jr.,NYK,23,6-6,210,Michigan,USA,2013,1,24,70,11.5,2.2,1.8,-11.1,0.70%,8.80%,22.90%,51.20%,13.40%
Tim Frazier,POR,24,6-1,170,Penn State,USA,Undrafted,Undrafted,Undrafted,11,5.2,2.5,5.5,-2.2,2.30%,8.90%,17.00%,40.60%,36.10%
Tim Duncan,SAS,39,6-11,250,Wake Forest,US Virgin Isl...,1997,1,1,77,13.9,9.1,3,6.8,8.10%,23.60%,22.10%,56.00%,16.60%
Tiago Splitter,SAS,30,6-11,245,None,Brazil,2007,1,28,52,8.2,4.8,1.5,11.9,9.20%,15.50%,18.10%,60.10%,11.00%
Thomas Robinson,PHI,24,6-10,237,Kansas,USA,2012,1,5,54,5.7,5.6,0.6,0.4,10.60%,25.00%,19.00%,50.20%,7.00%
Thaddeus Young,BKN,27,6-8,221,Georgia Tech,USA,2007,1,12,76,14.1,5.4,2.3,-4.5,5.20%,12.10%,21.20%,50.70%,11.80%
Thabo Sefolosha,ATL,31,6-7,222,None,Switzerland,2006,1,13,52,5.3,4.3,1.4,11.2,5.60%,16.90%,14.30%,50.60%,11.60%
