PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Taj Gibson,CHI,25,6-9,225,Southern California,USA,2009,1,26,82,9,7.5,0.9,-0.8,10.10%,16.80%,16.50%,52.10%,4.90%
T.J. Ford,IND,27,6-0,165,Texas-Austin,USA,2003,1,8,47,10.3,3.2,3.8,-7.5,3.40%,9.10%,20.70%,50.70%,25.40%
Sundiata Gaines,UTA,24,6-1,195,Georgia,USA,Undrafted,Undrafted,Undrafted,32,3.3,0.9,1.2,4.2,2.70%,11.00%,22.20%,51.80%,28.90%
Steven Hunter,MEM,28,7-0,240,DePaul,USA,2001,1,15,21,2.5,2,0,-9.4,10.80%,14.20%,17.80%,45.00%,0.00%
Steve Novak,LAC,27,6-10,240,Marquette,USA,2006,2,32,54,2.1,0.6,0.1,-12.9,0.30%,9.00%,13.60%,50.50%,2.50%
Steve Nash,PHX,36,6-3,178,Santa Clara,Canada,1996,1,15,81,16.5,3.3,11,6.7,1.40%,8.20%,22.30%,61.50%,48.30%
Steve Blake,LAC,30,6-3,172,Maryland,USA,2003,2,38,80,7.3,2.3,4.8,-3.6,1.00%,8.20%,14.30%,53.90%,27.20%
Stephen Jackson,CHA,32,6-8,215,Butler C.C. (KS),USA,1997,2,42,81,20.6,5,3.7,2.6,2.70%,10.70%,27.00%,51.80%,17.00%
Stephen Graham,CHA,28,6-6,215,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,70,4.2,1.9,0.3,0.8,3.10%,14.00%,16.90%,55.10%,5.40%
Stephen Curry,GSW,22,6-3,185,Davidson,USA,2009,1,7,80,17.5,4.5,5.9,-2.7,1.70%,10.60%,21.50%,56.80%,24.10%
Spencer Hawes,SAC,22,7-1,245,Washington,USA,2007,1,10,72,10,6.1,2.2,-5.9,7.60%,15.50%,19.50%,50.70%,13.20%
Sonny Weems,TOR,23,6-6,203,Arkansas,USA,2008,2,39,69,7.5,2.8,1.5,-0.8,3.40%,11.10%,18.00%,53.30%,11.00%
Solomon Jones,IND,25,6-10,245,South Florida,USA,2006,2,33,52,4,2.8,0.6,-10,6.90%,13.50%,15.50%,49.90%,7.70%
Shelden Williams,BOS,26,6-9,250,Duke,USA,2006,1,5,54,3.7,2.7,0.4,1.8,8.20%,16.80%,14.90%,61.20%,5.80%
Shawn Marion,DAL,32,6-7,228,UNLV,USA,1999,1,9,75,12,6.4,1.4,5,7.10%,13.60%,17.80%,53.50%,6.90%
Shavlik Randolph,MIA,26,6-10,236,Duke,USA,Undrafted,Undrafted,Undrafted,6,2.3,2.3,0.2,8.2,11.70%,13.70%,18.20%,37.10%,3.10%
Shaun Livingston,WAS,24,6-7,185,None,USA,2004,1,4,36,6.9,2.2,3.6,0.1,2.20%,8.40%,16.00%,56.30%,24.60%
Shaquille O'Neal,CLE,38,7-1,325,Louisiana State,USA,1992,1,1,53,12,6.7,1.5,4.3,8.60%,21.40%,25.10%,56.50%,11.00%
Shannon Brown,LAL,24,6-4,210,Michigan State,USA,2006,1,25,82,8.1,2.2,1.3,0.9,1.70%,8.80%,18.60%,51.70%,10.50%
Shane Battier,HOU,31,6-8,220,Duke,USA,2001,1,6,67,8,4.7,2.4,-0.2,3.40%,11.30%,11.40%,54.10%,11.10%
Sergio Rodriguez,NYK,24,6-3,176,None,Spain,2006,1,27,66,6.6,1.3,3.2,-2.2,2.40%,6.30%,20.90%,55.40%,30.70%
Serge Ibaka,OKC,20,6-10,235,None,Republic of t...,2008,1,24,73,6.3,5.4,0.1,0.4,10.70%,18.90%,15.80%,56.20%,1.30%
Sebastian Telfair,CLE,25,6-0,175,None,USA,2004,1,13,43,4.8,1,2.9,-8.1,0.80%,6.50%,18.80%,47.90%,31.30%
Sean Williams,NJN,23,6-10,235,Boston College,USA,2007,1,17,20,2.6,2.3,0.1,-4.2,8.60%,11.30%,14.90%,45.30%,0.70%
Sean May,SAC,26,6-9,266,North Carolina,USA,2005,1,13,37,3.3,1.9,0.5,1.2,6.10%,15.40%,19.40%,49.20%,8.30%
Sean Marks,NOH,34,6-10,250,California,New Zealand,1998,2,44,14,0.7,1.6,0.1,-2.6,14.90%,12.30%,6.50%,49.00%,3.70%
Sasha Vujacic,LAL,26,6-7,205,None,Slovenia,2004,1,27,67,2.8,1.2,0.6,-0.1,3.90%,9.40%,14.10%,51.80%,11.30%
Sasha Pavlovic,MIN,26,6-7,235,None,Montenegro,2003,1,19,71,3.7,1.6,0.8,-15,1.30%,11.80%,17.30%,42.20%,10.50%
Samuel Dalembert,PHI,30,6-11,250,Seton Hall,Haiti,2001,1,26,82,8.1,9.6,0.8,-4.3,11.90%,27.50%,15.10%,57.30%,4.70%
Sam Young,MEM,25,6-6,220,Pittsburgh,USA,2009,2,36,80,7.4,2.5,0.7,-9,5.60%,9.40%,21.20%,51.80%,6.80%
Ryan Hollins,MIN,25,7-0,230,UCLA,USA,2006,2,50,73,6.1,2.8,0.7,-16,6.50%,10.50%,16.40%,60.00%,6.60%
Ryan Gomes,MIN,27,6-7,245,Providence,USA,2005,2,50,76,10.9,4.6,1.6,-9.2,3.40%,13.10%,17.20%,52.80%,8.70%
Ryan Bowen,OKC,34,6-9,218,Iowa,USA,1998,2,55,1,4,2,0,58.8,10.00%,7.70%,8.30%,106.40%,0.00%
Ryan Anderson,ORL,22,6-10,240,California,USA,2008,1,21,63,7.7,3.2,0.6,9.7,8.10%,14.40%,23.30%,57.40%,6.90%
Russell Westbrook,OKC,21,6-3,187,UCLA,USA,2008,1,4,82,16.1,4.9,8,4.3,5.20%,9.10%,25.00%,49.10%,36.70%
Rudy Gay,MEM,23,6-8,230,Connecticut,USA,2006,1,8,80,19.6,5.9,1.9,0.1,3.70%,11.90%,22.40%,53.50%,7.60%
Rudy Fernandez,POR,25,6-6,185,None,Spain,2007,1,24,62,8.1,2.6,2,0.2,2.50%,9.80%,16.80%,54.00%,14.60%
Royal Ivey,MIL,28,6-4,215,Texas-Austin,USA,2004,2,37,44,2.1,0.8,0.6,0.3,1.80%,8.80%,13.20%,52.70%,12.70%
Roy Hibbert,IND,23,7-2,278,Georgetown,USA,2008,1,17,81,11.7,5.7,2,0.5,8.80%,13.60%,22.10%,53.70%,13.00%
Ronny Turiaf,GSW,27,6-10,250,Gonzaga,France,2005,2,37,42,4.9,4.5,2.1,-0.9,6.20%,15.00%,11.20%,57.40%,13.90%
Ronnie Price,UTA,27,6-2,184,Utah Valley,USA,Undrafted,Undrafted,Undrafted,60,4.3,1.2,2.1,1.7,3.60%,5.90%,17.50%,47.60%,23.60%
Ronnie Brewer,MEM,25,6-7,227,Arkansas,USA,2006,1,14,58,8.8,3.2,2.7,2.6,2.90%,8.70%,14.00%,52.40%,13.00%
Roko Ukic,MIL,25,6-5,190,None,Croatia,2005,2,41,13,3.1,0.2,0.9,10.1,0.00%,3.40%,18.80%,57.40%,18.50%
Roger Mason Jr.,SAS,29,6-5,212,Virginia,USA,2002,2,30,79,6.3,2.1,1.7,2.2,0.70%,10.00%,16.60%,49.00%,14.00%
Rodrigue Beaubois,DAL,22,6-0,170,None,France,2009,1,25,56,7.1,1.4,1.3,5,1.80%,9.40%,23.20%,61.70%,16.20%
Rodney Stuckey,DET,24,6-5,205,Eastern Washington,USA,2007,1,15,73,16.6,3.8,4.8,-2.4,2.70%,9.70%,26.00%,47.90%,24.60%
Rodney Carney,PHI,26,6-7,205,Memphis,USA,2006,1,16,68,4.7,2,0.5,-4.5,3.00%,13.10%,17.40%,51.50%,7.00%
Robin Lopez,PHX,22,7-0,255,Stanford,USA,2008,1,15,51,8.4,4.9,0.1,5.2,11.30%,13.50%,16.60%,62.10%,1.00%
Ricky Davis,LAC,30,6-7,195,Iowa,USA,1998,1,21,36,4.4,1.6,1.1,-11.6,2.10%,10.30%,16.90%,50.40%,12.80%
Richard Jefferson,SAS,30,6-7,225,Arizona,USA,2001,1,13,81,12.3,4.4,2,6.2,2.50%,12.00%,18.10%,55.10%,9.70%
Richard Hamilton,DET,32,6-7,193,Connecticut,USA,1999,1,7,46,18.1,2.7,4.4,-5.5,1.90%,6.60%,27.10%,50.50%,22.90%
Renaldo Balkman,DEN,25,6-8,208,South Carolina,USA,2006,1,20,13,1.1,1.8,0.5,-16.8,3.90%,19.20%,12.70%,33.90%,10.80%
Reggie Williams,GSW,23,6-6,210,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,24,15.2,4.6,2.8,-2.7,2.30%,11.70%,18.40%,58.80%,12.50%
Reggie Evans,TOR,30,6-8,245,Iowa,USA,Undrafted,Undrafted,Undrafted,28,3.4,3.8,0.3,-0.2,10.50%,25.00%,16.70%,49.80%,3.80%
Raymond Felton,CHA,26,6-1,198,North Carolina,USA,2005,1,5,80,12.1,3.6,5.6,3.1,2.20%,9.50%,18.90%,52.50%,28.30%
Ray Allen,BOS,34,6-5,205,Connecticut,USA,1996,1,5,80,16.3,3.2,2.6,7.2,1.80%,7.70%,19.50%,60.10%,11.80%
Rasual Butler,LAC,31,6-7,205,La Salle,USA,2002,2,52,82,11.9,2.9,1.4,-5.7,1.50%,7.50%,16.40%,52.40%,6.70%
Rasho Nesterovic,TOR,34,7-0,255,None,Slovenia,1998,1,17,42,3.9,2.1,0.6,-12,10.30%,14.70%,17.80%,53.90%,9.10%
Rasheed Wallace,BOS,35,6-11,230,North Carolina,USA,1995,1,4,79,9,4.1,1,1.8,2.50%,17.50%,20.00%,50.40%,7.60%
Rashard Lewis,ORL,30,6-10,230,None,USA,1998,2,32,72,14.1,4.4,1.5,7.5,2.80%,10.50%,19.30%,57.30%,7.50%
Randy Foye,WAS,26,6-4,213,Villanova,USA,2006,1,7,70,10.1,1.9,3.3,-7.6,1.00%,7.10%,20.80%,51.60%,23.40%
Randolph Morris,ATL,24,6-11,275,Kentucky,USA,Undrafted,Undrafted,Undrafted,28,2.2,1.4,0.1,-6.7,7.90%,22.60%,20.90%,58.60%,2.70%
Ramon Sessions,MIN,24,6-3,190,Nevada-Reno,USA,2007,2,56,82,8.2,2.6,3.1,-6.1,3.20%,9.00%,19.50%,51.30%,23.60%
Rajon Rondo,BOS,24,6-1,171,Kentucky,USA,2006,1,21,81,13.7,4.4,9.8,4.7,3.80%,9.10%,19.80%,54.00%,42.50%
Raja Bell,GSW,33,6-5,215,Florida International,U.S. Virgin I...,Undrafted,Undrafted,Undrafted,6,11.8,3.8,2.2,9.8,2.70%,11.20%,16.70%,57.00%,12.40%
Rafer Alston,MIA,33,6-2,175,Fresno State,USA,1998,2,39,52,8.2,2.5,3.4,-4.5,0.90%,8.50%,18.30%,44.30%,20.00%
Quinton Ross,WAS,29,6-6,193,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,52,1.8,0.9,0.2,-5.8,3.00%,5.50%,10.10%,39.30%,3.30%
Quentin Richardson,MIA,30,6-6,228,DePaul,USA,2000,1,18,76,8.9,4.9,1.2,5.1,3.30%,15.40%,14.50%,57.20%,6.70%
Primoz Brezec,MIL,30,7-1,255,None,Slovenia,2000,1,27,21,0.9,1.2,0,1,11.50%,15.10%,13.60%,33.20%,1.80%
Pops Mensah-Bonsu,TOR,26,6-9,235,George Washington,USA,Undrafted,Undrafted,Undrafted,20,2,1.8,0.2,-14,12.60%,15.80%,19.20%,44.80%,4.10%
Peja Stojakovic,NOH,33,6-10,229,None,Serbia,1996,1,14,62,12.6,3.7,1.5,-1.2,2.00%,10.00%,18.10%,53.30%,7.20%
Paul Pierce,BOS,32,6-7,235,Kansas,USA,1998,1,10,71,18.3,4.4,3.1,5.1,1.90%,11.60%,23.50%,61.30%,15.00%
Paul Millsap,UTA,25,6-8,250,Louisiana Tech,USA,2006,2,47,82,11.6,6.8,1.6,7.7,8.90%,16.70%,18.40%,57.30%,9.00%
Paul Davis,WAS,25,6-11,270,Michigan State,USA,2006,2,34,2,2.5,0,1.5,11.4,0.00%,0.00%,29.40%,51.20%,75.00%
Pau Gasol,LAL,29,7-0,250,None,Spain,2001,1,3,65,18.3,11.3,3.4,6,10.30%,20.30%,21.00%,59.30%,14.70%
Patty Mills,POR,21,6-0,185,St.Mary's College of California,Australia,2009,2,55,10,2.6,0.2,0.5,-22.1,2.50%,3.70%,32.00%,48.00%,25.00%
Patrick O'Bryant,TOR,24,7-0,250,Bradley,USA,2006,1,9,11,1.7,1,0.1,-16,4.70%,19.60%,19.00%,53.90%,3.30%
Othyus Jeffers,UTA,24,6-5,210,Robert Morris-Chicago,USA,Undrafted,Undrafted,Undrafted,14,2.6,1.4,0.1,4.7,11.10%,15.10%,23.40%,49.50%,2.10%
Othello Hunter,ATL,24,6-8,225,Ohio State,USA,Undrafted,Undrafted,Undrafted,7,1.6,1.7,0,-21.2,14.00%,16.70%,18.90%,40.00%,0.00%
Omri Casspi,SAC,22,6-9,225,None,Israel,2009,1,23,77,10.3,4.5,1.2,-3.2,3.80%,14.20%,18.80%,52.90%,7.60%
Oliver Lafayette,BOS,26,6-2,190,Houston,USA,Undrafted,Undrafted,Undrafted,1,7,4,2,-19.7,4.50%,15.00%,16.70%,58.30%,18.20%
Oleksiy Pecherov,MIN,24,7-0,234,None,Ukraine,2006,1,18,44,4.5,2.8,0.3,-2.6,6.90%,20.30%,21.90%,48.70%,4.00%
O.J. Mayo,MEM,22,6-4,210,Southern California,USA,2008,1,3,82,17.5,3.8,3,-1.3,2.00%,8.60%,20.30%,55.10%,12.00%
Nicolas Batum,POR,21,6-8,200,None,France,2008,1,25,37,10.1,3.8,1.2,7.8,3.90%,13.20%,15.90%,64.60%,7.30%
Nick Young,WAS,25,6-6,200,Southern California,USA,2007,1,16,74,8.6,1.4,0.6,-1.9,1.40%,6.00%,21.10%,51.90%,5.50%
Nick Collison,OKC,29,6-10,255,Kansas,USA,2003,1,12,75,5.9,5.1,0.5,9.5,10.40%,15.00%,12.00%,61.60%,3.80%
Nene,DEN,27,6-11,250,None,Brazil,2002,1,7,82,13.8,7.6,2.5,5.9,6.30%,17.30%,16.50%,63.10%,11.40%
Nenad Krstic,OKC,26,7-0,240,None,Serbia,2002,1,24,76,8.4,5,0.7,3,8.10%,14.30%,16.90%,52.70%,4.60%
Nazr Mohammed,CHA,32,6-10,250,Kentucky,USA,1998,1,29,58,7.9,5.2,0.5,0.6,12.30%,21.40%,20.80%,57.80%,4.90%
Nathan Jawai,MIN,23,6-10,280,Midland (Texas),Australia,2008,2,41,39,3.2,2.7,0.6,-8.9,10.70%,13.30%,15.10%,48.50%,9.00%
Nate Robinson,BOS,26,5-9,180,Washington,USA,2005,1,21,56,10.1,2,2.9,-3.9,2.50%,7.50%,23.40%,54.30%,24.90%
Morris Peterson,NOH,32,6-7,220,Michigan State,USA,2000,1,21,46,7.1,2.7,0.9,-6.1,1.80%,12.60%,16.20%,50.30%,5.90%
Monta Ellis,GSW,24,6-3,180,None,USA,2005,2,40,64,25.5,4,5.3,-7,1.80%,8.30%,29.10%,51.70%,21.60%
Mo Williams,CLE,27,6-1,190,Alabama,USA,2003,2,47,69,15.8,3,5.3,4.8,1.30%,7.80%,21.40%,58.00%,24.70%
Mikki Moore,GSW,34,7-0,225,Nebraska,USA,Undrafted,Undrafted,Undrafted,23,5,3,1.6,-14.5,6.20%,11.30%,12.10%,60.60%,13.10%
Mike Wilks,OKC,31,5-10,180,Rice,USA,Undrafted,Undrafted,Undrafted,4,4,1,1,-29.2,1.80%,5.50%,14.00%,58.10%,14.30%
Mike Miller,WAS,30,6-8,218,Florida,USA,2000,1,5,54,10.9,6.2,3.9,-4.4,3.30%,16.50%,14.60%,62.30%,17.80%
Mike James,WAS,35,6-2,188,Duquesne,USA,Undrafted,Undrafted,Undrafted,4,4.5,0.8,1.3,4.3,2.00%,3.70%,26.90%,38.30%,19.20%
Mike Harris,HOU,27,6-6,235,Rice,USA,Undrafted,Undrafted,Undrafted,13,2.2,1.8,0.2,-17.3,7.60%,14.60%,18.00%,41.60%,6.30%
Mike Dunleavy,IND,29,6-9,230,Duke,USA,2002,1,3,67,9.9,3.5,1.5,-1.6,1.60%,13.50%,20.00%,53.10%,11.20%
Mike Conley,MEM,22,6-1,185,Ohio State,USA,2007,1,4,80,12,2.4,5.3,0.3,1.20%,6.80%,18.40%,52.60%,24.50%
Mike Bibby,ATL,32,6-2,195,Arizona,USA,1998,1,2,80,9.1,2.3,3.9,7.2,1.00%,7.80%,16.00%,53.80%,20.40%
Mickael Pietrus,ORL,28,6-6,215,None,France,2003,1,11,75,8.7,2.9,0.7,3.8,2.40%,10.00%,17.80%,55.50%,4.80%
Michael Redd,MIL,30,6-6,215,Ohio State,USA,2000,2,43,18,11.9,3,2.2,-10.7,1.90%,9.50%,22.70%,44.40%,14.30%
Michael Finley,BOS,37,6-7,225,Wisconsin,USA,1995,1,21,46,4.4,1.5,0.9,-0.9,0.90%,9.60%,13.70%,53.00%,9.00%
Michael Beasley,MIA,21,6-10,235,Kansas State,USA,2008,1,2,78,14.8,6.4,1.3,0,5.60%,17.00%,25.30%,50.50%,7.60%
Metta World Peace,LAL,30,6-7,260,St. John's,USA,1999,1,16,77,11,4.3,3,6.8,3.90%,8.70%,16.10%,51.40%,13.20%
Mehmet Okur,UTA,31,6-11,263,None,Turkey,2001,2,37,73,13.5,7.1,1.6,4.4,6.60%,18.60%,20.90%,56.10%,8.50%
Maurice Evans,ATL,31,6-5,220,Texas,USA,Undrafted,Undrafted,Undrafted,79,5.7,1.9,0.6,-0.2,4.40%,7.60%,14.40%,53.90%,5.60%
Matt Carroll,DAL,29,6-6,212,Notre Dame,USA,Undrafted,Undrafted,Undrafted,25,1.8,0.5,0.2,-6.4,3.30%,7.40%,21.30%,43.70%,8.20%
Matt Bonner,SAS,30,6-10,240,Florida,USA,2003,2,45,65,7,3.3,1,8.3,4.70%,14.00%,16.50%,58.10%,9.00%
Matt Barnes,ORL,30,6-7,226,UCLA,USA,2002,2,45,81,8.8,5.5,1.7,11.2,5.50%,16.20%,16.00%,57.60%,9.70%
Marvin Williams,ATL,24,6-9,240,North Carolina,USA,2005,1,2,81,10.1,5.1,1.1,5.3,4.50%,13.10%,15.60%,54.00%,5.60%
Martell Webster,POR,23,6-7,235,None,USA,2005,1,6,82,9.4,3.3,0.8,2.8,2.40%,12.40%,17.70%,54.30%,5.00%
Marreese Speights,PHI,22,6-10,245,Florida,USA,2008,1,16,62,8.6,4.1,0.6,-8.8,8.70%,18.20%,24.90%,52.40%,6.20%
Marquis Daniels,BOS,29,6-6,200,Auburn,USA,Undrafted,Undrafted,Undrafted,51,5.6,1.9,1.3,1.6,3.20%,7.60%,15.60%,52.60%,11.10%
Mario West,ATL,26,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,39,0.8,0.7,0.2,-2.4,6.20%,12.30%,9.50%,59.10%,9.20%
Mario Chalmers,MIA,24,6-1,190,Kansas,USA,2008,2,34,73,7.1,1.8,3.4,0.2,1.40%,6.30%,16.00%,51.90%,21.70%
Mardy Collins,LAC,25,6-6,220,Temple,USA,2006,1,29,43,2.6,1.2,1,-9.8,2.90%,8.30%,16.20%,40.40%,15.10%
Marcus Williams,MEM,24,6-3,205,Connecticut,USA,2006,1,22,62,4.3,1.5,2.6,-7.4,1.50%,9.30%,18.00%,45.60%,27.40%
Marcus Thornton,NOH,23,6-4,205,Louisiana State,USA,2009,2,43,73,14.5,2.9,1.6,-1.8,4.00%,8.00%,24.80%,55.00%,10.30%
Marcus Landry,BOS,24,6-7,230,Wisconsin,USA,Undrafted,Undrafted,Undrafted,18,2.4,1.1,0,2.2,4.30%,12.40%,19.40%,48.70%,0.00%
Marcus Haislip,SAS,29,6-10,230,Tennessee,USA,2002,1,13,10,2.5,1,0,-8.7,10.50%,11.30%,26.00%,53.90%,0.00%
Marcus Camby,POR,36,6-11,235,Massachusetts,USA,1996,1,2,74,7.5,11.8,2.5,2.8,11.10%,27.80%,12.60%,50.10%,11.90%
Marcus Banks,TOR,28,6-2,205,UNLV,USA,2003,1,13,22,5,1,1.2,-4,1.30%,8.00%,20.10%,63.50%,21.50%
Marco Belinelli,TOR,24,6-5,200,None,Italy,2007,1,18,66,7.1,1.4,1.3,2.3,1.30%,7.40%,19.30%,54.30%,11.90%
Marcin Gortat,ORL,26,6-11,240,None,Poland,2005,2,57,81,3.6,4.2,0.2,2.6,9.60%,20.90%,12.50%,56.30%,2.40%
Marc Gasol,MEM,25,7-1,265,None,Spain,2007,2,48,69,14.6,9.3,2.4,2.3,8.80%,18.80%,17.00%,61.70%,10.00%
Manu Ginobili,SAS,32,6-6,205,None,Argentina,1999,2,57,75,16.5,3.8,4.9,8.2,3.30%,10.40%,24.70%,58.40%,27.30%
Malik Hairston,SAS,23,6-6,220,Oregon,USA,2008,2,48,47,2.1,1,0.3,-1.3,4.60%,10.80%,13.50%,55.50%,7.50%
Malik Allen,DEN,32,6-10,255,Villanova,USA,Undrafted,Undrafted,Undrafted,51,2.1,1.6,0.3,-13.1,8.10%,10.70%,14.00%,43.10%,5.50%
Luther Head,IND,27,6-3,185,Illinois,USA,2005,1,24,47,7.6,1.7,1.5,0.8,0.70%,8.50%,20.60%,53.00%,14.20%
Luol Deng,CHI,25,6-9,220,Duke,United Kingdo...,2004,1,7,70,17.6,7.3,2,0.9,4.90%,13.90%,21.50%,53.10%,8.80%
