PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zydrunas Ilgauskas,CLE,35,7-3,260,None,Lithuania,1996,1,20,64,7.4,5.4,0.8,8.3,9.20%,17.30%,18.70%,49.10%,5.80%
Zaza Pachulia,ATL,26,6-11,275,None,Georgia,2003,2,42,78,4.3,3.8,0.5,0.4,10.60%,17.20%,15.00%,53.90%,5.80%
Zach Randolph,MEM,28,6-9,260,Michigan State,USA,2001,1,19,81,20.8,11.7,1.8,-0.2,11.10%,22.00%,24.30%,54.60%,8.00%
Yi Jianlian,NJN,22,7-0,250,None,China,2007,1,6,52,12,7.2,0.9,-6.9,7.10%,16.80%,20.00%,48.10%,4.80%
Yakhouba Diawara,MIA,27,6-7,225,Pepperdine,USA,Undrafted,Undrafted,Undrafted,6,0.8,0.7,0.5,-2.2,2.30%,7.00%,12.60%,25.00%,9.10%
Wilson Chandler,NYK,23,6-8,225,DePaul,USA,2007,1,23,65,15.3,5.4,2.1,-2.7,4.10%,11.40%,20.00%,53.40%,9.60%
Willie Green,PHI,28,6-3,201,Detroit,USA,2003,2,41,73,8.7,1.8,2.1,-4.6,1.30%,7.50%,19.00%,53.80%,16.40%
Will Conroy,HOU,27,6-2,195,Washington,USA,Undrafted,Undrafted,Undrafted,5,1.2,0.6,1.4,-23.3,0.00%,7.70%,16.30%,27.60%,30.40%
Will Bynum,DET,27,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,63,10,2.3,4.5,-9.5,1.50%,8.10%,19.90%,51.30%,28.40%
Wesley Matthews,UTA,23,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,82,9.4,2.3,1.5,5.5,2.70%,7.30%,16.40%,59.20%,9.00%
Wayne Ellington,MIN,22,6-4,200,North Carolina,USA,2009,1,28,76,6.6,2.1,1,-6.7,2.30%,9.10%,16.80%,52.70%,8.50%
Vladimir Radmanovic,GSW,29,6-10,235,None,Serbia,2001,1,12,41,6.2,4.3,1.1,-6.6,5.50%,15.00%,15.60%,44.90%,7.30%
Vince Carter,ORL,33,6-6,220,North Carolina,USA,1998,1,5,75,16.6,3.9,3.1,11.2,1.50%,11.00%,24.70%,54.10%,17.70%
Udonis Haslem,MIA,30,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,78,9.9,8.1,0.7,1.4,8.10%,22.00%,16.80%,53.80%,4.20%
Tyson Chandler,CHA,27,7-1,235,None,USA,2001,1,2,51,6.5,6.3,0.3,-0.3,10.50%,18.80%,13.80%,64.30%,2.30%
Tyrus Thomas,CHA,23,6-10,225,Louisiana State,USA,2006,1,4,54,9.4,6.2,1,-0.7,6.60%,20.00%,21.40%,51.10%,8.10%
Tyreke Evans,SAC,20,6-6,220,Memphis,USA,2009,1,4,72,20.1,5.3,5.8,-6.2,2.40%,12.20%,26.10%,52.90%,26.80%
Tyler Hansbrough,IND,24,6-9,250,North Carolina,USA,2009,1,13,29,8.5,4.8,1,-4.4,10.60%,15.00%,24.50%,44.80%,9.70%
Ty Lawson,DEN,22,5-11,195,North Carolina,USA,2009,1,18,65,8.3,1.9,3.1,6.3,3.30%,6.20%,17.40%,60.00%,23.30%
Troy Murphy,IND,30,6-11,245,Notre Dame,USA,2001,1,14,72,14.6,10.2,2.1,-5.4,5.40%,25.70%,18.50%,58.50%,10.80%
Trey Gilder,MEM,25,6-9,205,Northwestern State,USA,Undrafted,Undrafted,Undrafted,2,1,0.5,0,32.1,0.00%,16.70%,8.30%,100%,0.00%
Trevor Ariza,HOU,24,6-8,210,UCLA,USA,2004,2,43,72,14.9,5.6,3.8,0.1,2.90%,13.20%,21.00%,48.80%,16.40%
Trenton Hassell,NJN,31,6-5,227,Austin Peay,USA,2001,2,29,52,4.5,2.9,1,-16.1,4.90%,9.60%,12.10%,46.50%,7.70%
Travis Outlaw,LAC,25,6-9,207,None,USA,2003,1,23,34,9.1,3.6,1,-3.5,4.40%,12.10%,20.30%,50.30%,8.20%
Travis Diener,POR,28,6-1,175,Marquette,USA,2005,2,38,9,0.7,0.3,0.9,-30.6,0.00%,5.60%,9.90%,25.50%,22.20%
Tracy McGrady,NYK,31,6-8,223,None,USA,1997,1,9,30,8.2,3.1,3.3,-8.8,3.40%,11.40%,20.50%,46.60%,22.00%
Tony Parker,SAS,28,6-2,180,None,France,2001,1,28,56,16,2.4,5.7,6.4,0.40%,7.50%,25.50%,54.20%,30.40%
Tony Battie,NJN,34,6-11,240,Texas Tech,USA,1997,1,5,15,2.4,1.5,0.2,-17.5,2.50%,15.00%,15.80%,40.50%,4.20%
Tony Allen,BOS,28,6-4,213,Oklahoma State,USA,2004,1,25,54,6.1,2.7,1.3,-1.3,6.30%,10.70%,18.70%,54.00%,14.10%
Toney Douglas,NYK,24,6-1,200,Florida State,USA,2009,1,29,56,8.6,1.9,2,-4.7,3.60%,6.60%,19.10%,57.10%,16.70%
Tim Thomas,DAL,33,6-10,240,Villanova,USA,1997,1,7,18,7.5,2.3,0.8,-3.8,4.70%,10.80%,20.40%,57.90%,7.60%
Tim Duncan,SAS,34,6-11,260,Wake Forest,US Virgin Isl...,1997,1,1,78,17.9,10.1,3.2,8.2,9.70%,23.70%,26.30%,56.00%,17.50%
Theo Ratliff,CHA,37,6-10,235,Wyoming,USA,1995,1,18,49,3.6,3.2,0.5,-0.9,8.50%,12.80%,12.80%,51.10%,4.70%
Thaddeus Young,PHI,22,6-8,220,Georgia Tech,USA,2007,1,12,67,13.8,5.2,1.4,-3.5,6.20%,10.80%,21.10%,52.30%,7.50%
Thabo Sefolosha,OKC,26,6-7,215,None,Switzerland,2006,1,13,82,6,4.7,1.8,1.9,3.40%,13.40%,10.70%,50.90%,8.80%
Terrence Williams,NJN,23,6-6,220,Louisville,USA,2009,1,11,78,8.4,4.5,2.9,-7.7,2.60%,18.00%,21.30%,45.90%,22.40%
Tayshaun Prince,DET,30,6-9,215,Kentucky,USA,2002,1,23,49,13.5,5.1,3.3,-4.7,4.40%,12.20%,19.00%,53.00%,16.50%
Taylor Griffin,PHX,24,6-7,238,Oklahoma,USA,2009,2,48,8,1.3,0.3,0.1,-4.5,0.00%,5.40%,16.90%,42.50%,5.60%
