PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zaza Pachulia,ATL,29,6-11,275,None,Georgia,2003,2,42,52,5.9,6.5,1.5,-1.2,12.20%,18.60%,14.20%,53.40%,10.70%
Zach Randolph,MEM,31,6-9,260,Michigan State,USA,2001,1,19,76,15.4,11.2,1.4,5.7,12.00%,22.60%,22.70%,50.60%,7.30%
Xavier Henry,NOH,22,6-6,220,Kansas,USA,2010,1,12,50,3.9,1.8,0.3,-11.6,3.30%,12.90%,16.90%,48.10%,3.60%
Wilson Chandler,DEN,26,6-8,225,DePaul,USA,2007,1,23,43,13,5.1,1.3,8.5,4.30%,15.10%,22.40%,55.60%,8.20%
Willie Green,LAC,31,6-3,201,Detroit,USA,2003,2,41,72,6.3,1.3,0.8,3.6,1.50%,7.40%,16.60%,56.20%,7.00%
Will Conroy,MIN,30,6-2,195,Washington,USA,Undrafted,Undrafted,Undrafted,4,0.3,0.3,0,-96.5,3.30%,0.00%,20.80%,5.10%,0.00%
Will Bynum,DET,30,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,65,9.8,1.5,3.6,-8.1,2.30%,6.00%,25.80%,53.20%,34.10%
Will Barton,POR,22,6-5,170,Memphis,USA,2012,2,40,73,4,2,0.8,-12.1,3.90%,13.20%,19.80%,43.70%,11.30%
Wesley Matthews,POR,26,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,69,14.8,2.8,2.5,-2.1,1.50%,6.80%,18.80%,57.40%,11.50%
Wesley Johnson,PHX,25,6-7,215,Syracuse,USA,2010,1,4,50,8,2.5,0.7,-11.6,2.10%,10.70%,20.60%,48.50%,6.10%
Wayne Ellington,CLE,25,6-4,200,North Carolina,USA,2009,1,28,78,7.9,2.1,1.3,0.1,1.50%,8.60%,16.50%,54.60%,10.00%
Vladimir Radmanovic,CHI,32,6-10,235,None,Serbia,2001,1,12,25,1.3,1.1,0.3,-11.9,6.40%,13.50%,15.80%,37.20%,9.90%
Vince Carter,DAL,36,6-6,220,North Carolina,USA,1998,1,5,81,13.4,4.1,2.4,5.4,2.90%,12.70%,22.30%,57.10%,14.80%
Victor Claver,POR,24,6-9,224,None,Spain,2009,1,22,49,3.8,2.4,0.9,-6.4,3.90%,11.90%,13.70%,46.20%,7.90%
Viacheslav Kravtsov,DET,25,6-11,247,None,Ukraine,Undrafted,Undrafted,Undrafted,25,3.1,1.8,0.4,-4.4,10.80%,9.90%,15.00%,61.80%,6.20%
Udonis Haslem,MIA,33,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,75,3.9,5.4,0.5,10.5,8.20%,22.90%,10.50%,53.50%,3.70%
Tyson Chandler,NYK,30,7-1,240,None,USA,2001,1,2,66,10.4,10.7,0.9,6.1,12.60%,21.70%,12.60%,67.10%,4.40%
Tyshawn Taylor,BKN,23,6-3,185,Kansas,USA,2012,2,41,38,2.2,0.5,0.6,-14.6,1.00%,7.80%,24.90%,43.00%,18.10%
Tyrus Thomas,CHA,26,6-10,225,Louisiana State,USA,2006,1,4,26,4.8,2.3,0.7,-11.1,4.30%,12.20%,20.60%,41.80%,9.40%
Tyreke Evans,SAC,23,6-6,220,Memphis,USA,2009,1,4,65,15.2,4.4,3.5,-5.1,2.80%,12.10%,22.30%,55.80%,19.00%
Tyler Zeller,CLE,23,7-0,250,North Carolina,USA,2012,1,17,77,7.9,5.7,1.2,-6,7.40%,14.50%,15.70%,48.60%,7.50%
Tyler Honeycutt,SAC,22,6-8,188,UCLA,USA,2011,2,35,9,0.9,1.1,0.2,-13.7,7.50%,22.60%,20.50%,33.70%,11.10%
Tyler Hansbrough,IND,27,6-9,250,North Carolina,USA,2009,1,13,81,7,4.6,0.4,-0.8,11.00%,15.00%,19.80%,52.70%,5.00%
Ty Lawson,DEN,25,5-11,195,North Carolina,USA,2009,1,18,73,16.7,2.7,6.9,5.3,1.40%,6.30%,21.90%,54.90%,29.50%
Troy Murphy,DAL,33,6-11,245,Notre Dame,USA,2001,1,14,14,4.6,3.5,0.5,-3.6,2.70%,15.80%,13.10%,49.40%,4.50%
Tristan Thompson,CLE,22,6-9,227,Texas-Austin,Canada,2011,1,4,82,11.7,9.4,1.3,-4.6,11.40%,19.60%,18.10%,51.60%,6.90%
Trevor Booker,WAS,25,6-8,240,Clemson,USA,2010,1,23,48,5.3,5,0.8,-8.7,10.50%,16.30%,14.30%,50.90%,7.90%
Trevor Ariza,WAS,28,6-8,210,UCLA,USA,2004,2,43,56,9.5,4.8,2,-0.8,2.90%,14.70%,17.40%,53.80%,13.20%
Travis Outlaw,SAC,28,6-9,207,None,USA,2003,1,23,38,5.3,1.6,0.6,-3.1,3.60%,9.50%,21.60%,50.00%,7.90%
Tornike Shengelia,BKN,21,6-9,240,None,Georgia,2012,2,54,19,1.6,1.2,0.2,3.8,9.00%,16.50%,17.90%,49.90%,5.00%
Tony Wroten,MEM,20,6-6,208,Washington,USA,2012,1,25,35,2.6,0.8,1.2,-8.9,4.60%,5.60%,20.40%,46.10%,26.20%
Tony Parker,SAS,31,6-2,185,None,France,2001,1,28,66,20.3,3,7.6,10.2,0.90%,8.10%,27.60%,58.80%,39.60%
Tony Allen,MEM,31,6-4,213,Oklahoma State,USA,2004,1,25,79,8.9,4.6,1.2,6.7,5.90%,12.20%,17.70%,48.90%,7.60%
Toney Douglas,SAC,27,6-2,185,Florida State,USA,2009,1,29,71,7.5,1.9,2.1,4,2.60%,8.10%,19.10%,53.10%,17.60%
Tobias Harris,ORL,20,6-8,226,Tennessee,USA,2011,1,19,55,11,5.2,1.3,-6.6,5.30%,17.00%,21.60%,52.70%,8.70%
Timofey Mozgov,DEN,26,7-1,250,None,Russia,Undrafted,Undrafted,Undrafted,41,2.6,2.6,0.2,-9.6,13.10%,14.10%,14.10%,54.90%,3.90%
Tim Ohlbrecht,HOU,24,6-11,255,None,Germany,Undrafted,Undrafted,Undrafted,3,1,0.3,0.3,-30.4,0.00%,9.10%,25.90%,43.60%,25.00%
Tim Duncan,SAS,37,6-11,255,Wake Forest,US Virgin Isl...,1997,1,1,69,17.8,9.9,2.7,10.3,6.70%,25.80%,27.60%,55.40%,15.10%
Tiago Splitter,SAS,28,6-11,240,None,Brazil,2007,1,28,81,10.3,6.4,1.6,9.6,8.10%,17.80%,17.90%,60.90%,9.90%
Thomas Robinson,HOU,22,6-10,237,Kansas,USA,2012,1,5,70,4.8,4.5,0.7,-6.7,11.10%,18.80%,18.70%,45.10%,7.30%
Thaddeus Young,PHI,25,6-8,235,Georgia Tech,USA,2007,1,12,76,14.8,7.5,1.6,-0.2,7.00%,15.10%,19.70%,54.10%,7.80%
Thabo Sefolosha,OKC,29,6-7,215,None,Switzerland,2006,1,13,81,7.6,3.9,1.5,12.2,2.90%,10.80%,11.20%,61.70%,8.00%
Terrence Williams,BOS,26,6-6,220,Louisville,USA,2009,1,11,24,4.6,1.8,1.6,-0.8,1.30%,12.20%,18.20%,51.80%,19.00%
Terrence Ross,TOR,22,6-6,195,Washington,USA,2012,1,8,73,6.4,2,0.7,-2.8,2.80%,9.30%,19.10%,49.10%,7.30%
Terrence Jones,HOU,21,6-9,252,Kentucky,USA,2012,1,18,19,5.5,3.4,0.8,-2.6,9.20%,13.30%,17.30%,51.20%,9.00%
Terrel Harris,NOH,25,6-4,190,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,20,0.8,1.3,0.5,0,3.20%,16.90%,16.40%,23.90%,10.70%
Tayshaun Prince,MEM,33,6-9,215,Kentucky,USA,2002,1,23,82,10.4,4.4,2.4,2.3,2.90%,11.30%,17.00%,48.60%,12.20%
Taj Gibson,CHI,28,6-9,225,Southern California,USA,2009,1,26,65,8,5.3,0.9,5.3,8.60%,15.20%,17.70%,51.80%,7.10%
Steve Novak,NYK,30,6-10,235,Marquette,USA,2006,2,32,81,6.6,1.9,0.4,6.2,1.10%,8.90%,12.60%,60.20%,3.20%
Steve Nash,LAL,39,6-3,178,Santa Clara,Canada,1996,1,15,50,12.7,2.8,6.7,0.4,1.60%,7.00%,17.10%,60.50%,31.00%
Steve Blake,LAL,33,6-3,172,Maryland,USA,2003,2,38,45,7.3,2.9,3.8,1.5,1.80%,9.00%,13.00%,57.30%,22.70%
Stephen Jackson,SAS,35,6-8,220,Butler C.C. (KS),USA,1997,2,42,55,6.2,2.8,1.5,4.7,2.20%,12.20%,18.30%,47.30%,11.00%
Stephen Curry,GSW,25,6-3,185,Davidson,USA,2009,1,7,78,22.9,4,6.9,2.3,2.00%,8.30%,25.70%,58.90%,29.80%
Spencer Hawes,PHI,25,7-1,245,Washington,USA,2007,1,10,82,11,7.2,2.2,-3.8,7.50%,18.70%,20.40%,51.40%,13.40%
