PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Solomon Jones,NYK,28,6-10,245,South Florida,USA,2006,2,33,2,0,1.5,0,4,3.70%,8.00%,7.30%,0.00%,0.00%
Shelvin Mack,ATL,23,6-3,207,Butler,USA,2011,2,34,31,4.6,1.3,2.2,-4.6,0.80%,8.80%,18.30%,53.70%,26.50%
Shawn Marion,DAL,35,6-7,228,UNLV,USA,1999,1,9,67,12.1,7.8,2.4,-3.6,7.50%,18.50%,18.50%,55.30%,12.90%
Shavlik Randolph,BOS,29,6-10,236,Duke,USA,Undrafted,Undrafted,Undrafted,16,4.2,4.4,0.3,2.7,15.10%,22.00%,15.80%,55.90%,2.80%
Shaun Livingston,CLE,27,6-7,175,None,USA,2004,1,4,66,6.3,2.4,3.3,-4.1,2.10%,9.10%,14.20%,53.60%,22.90%
Shannon Brown,PHX,27,6-4,210,Michigan State,USA,2006,1,25,59,10.5,2.5,1.8,-7.1,3.10%,7.80%,21.70%,49.30%,12.70%
Shane Battier,MIA,34,6-8,225,Duke,USA,2001,1,6,72,6.6,2.3,1,9.8,2.40%,7.10%,10.90%,62.30%,5.80%
Serge Ibaka,OKC,23,6-10,235,None,Republic of t...,2008,1,24,80,13.2,7.7,0.5,10.6,10.00%,14.70%,17.80%,61.20%,2.80%
Sebastian Telfair,TOR,28,6-0,170,None,USA,2004,1,13,59,5.6,1.4,2.6,-1.2,1.30%,7.30%,18.30%,48.80%,25.20%
Scott Machado,GSW,23,6-1,205,Iona,USA,Undrafted,Undrafted,Undrafted,6,1.3,0.2,1,-20.8,0.00%,5.00%,28.80%,58.10%,60.00%
Sasha Pavlovic,POR,29,6-7,235,None,Montenegro,2003,1,19,39,2.6,1.4,0.8,-2.3,1.30%,10.00%,11.30%,42.30%,9.30%
Samuel Dalembert,MIL,33,6-11,250,Seton Hall,Haiti,2001,1,26,47,6.7,5.9,0.4,-7.3,12.30%,23.80%,18.00%,56.50%,4.40%
Samardo Samuels,CLE,24,6-9,260,Louisville,Jamaica,Undrafted,Undrafted,Undrafted,18,3.2,1.6,0.4,-5.8,4.60%,10.70%,17.20%,41.10%,6.90%
Sam Young,IND,28,6-6,225,Pittsburgh,USA,2009,2,36,56,2.8,2.2,0.8,-5.7,3.70%,12.70%,12.90%,46.40%,10.70%
Ryan Hollins,LAC,28,7-0,240,UCLA,USA,2006,2,50,60,3.4,2.3,0.2,4.4,8.10%,12.80%,13.30%,67.40%,2.70%
Ryan Anderson,NOH,25,6-10,240,California,USA,2008,1,21,81,16.2,6.4,1.2,-5.4,7.70%,14.40%,23.70%,54.80%,7.10%
Russell Westbrook,OKC,24,6-3,187,UCLA,USA,2008,1,4,82,23.2,5.2,7.4,11.2,4.30%,10.40%,32.20%,53.20%,37.20%
Rudy Gay,TOR,26,6-8,230,Connecticut,USA,2006,1,8,75,18.2,6.1,2.7,4.2,3.80%,14.20%,26.40%,49.40%,13.40%
Royal Ivey,PHI,31,6-4,200,Texas-Austin,USA,2004,2,37,53,3.2,1.1,0.6,-5,2.30%,6.10%,10.90%,56.30%,7.30%
Roy Hibbert,IND,26,7-2,280,Georgetown,USA,2008,1,17,79,11.9,8.3,1.4,8.7,13.30%,15.10%,22.30%,48.90%,8.30%
Ronny Turiaf,LAC,30,6-10,249,Gonzaga,France,2005,2,37,65,1.9,2.3,0.5,1.9,6.70%,14.30%,9.70%,48.50%,7.40%
Ronnie Price,POR,30,6-2,190,Utah Valley,USA,Undrafted,Undrafted,Undrafted,39,2.7,1.1,1.9,-5.3,2.70%,6.50%,14.80%,40.20%,23.20%
Ronnie Brewer,OKC,28,6-7,225,Arkansas,USA,2006,1,14,60,3,2.3,0.8,0.2,4.80%,12.10%,12.40%,41.60%,8.70%
Roger Mason Jr.,NOH,32,6-5,205,Virginia,USA,2002,2,30,69,5.3,1.9,1.1,-1.7,1.00%,10.70%,13.70%,57.00%,9.10%
Rodrigue Beaubois,DAL,25,6-2,185,None,France,2009,1,25,45,4,1.3,1.9,2.9,1.60%,8.50%,17.80%,47.00%,23.70%
Rodney Stuckey,DET,27,6-5,205,Eastern Washington,USA,2007,1,15,76,11.5,2.8,3.6,-7.2,2.00%,8.30%,20.60%,50.50%,20.80%
Robin Lopez,NOH,25,7-0,255,Stanford,USA,2008,1,15,82,11.3,5.6,0.8,-3.1,11.10%,12.00%,19.60%,57.30%,5.10%
Robert Sacre,LAL,24,7-0,260,Gonzaga,Canada,2012,2,60,32,1.3,1.1,0.2,-14.7,4.10%,12.30%,12.70%,40.70%,4.50%
Ricky Rubio,MIN,22,6-4,180,None,Spain,2009,1,5,57,10.7,4,7.3,-1.8,2.60%,12.10%,21.20%,48.20%,39.10%
Richard Jefferson,GSW,33,6-7,230,Arizona,USA,2001,1,13,56,3.1,1.5,0.6,2.4,0.90%,13.40%,13.90%,55.20%,8.80%
Richard Hamilton,CHI,35,6-7,193,Connecticut,USA,1999,1,7,50,9.8,1.7,2.4,-1.9,1.50%,6.30%,24.40%,48.10%,19.10%
Reggie Williams,CHA,26,6-6,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,40,3.7,1.3,1,-4.2,1.90%,11.00%,18.60%,51.70%,18.00%
Reggie Jackson,OKC,23,6-3,208,Boston College,USA,2011,1,24,70,5.3,2.4,1.7,6.7,2.30%,14.20%,18.30%,53.10%,20.40%
Reggie Evans,BKN,33,6-8,245,Iowa,USA,Undrafted,Undrafted,Undrafted,80,4.5,11.1,0.5,3.8,13.60%,34.20%,11.00%,50.60%,3.20%
Raymond Felton,NYK,29,6-1,205,North Carolina,USA,2005,1,5,68,13.9,2.9,5.5,5.9,2.20%,6.70%,21.70%,50.50%,26.00%
Ray Allen,MIA,37,6-5,205,Connecticut,USA,1996,1,5,79,10.9,2.7,1.7,3.8,2.20%,9.00%,18.50%,59.90%,10.70%
Rasheed Wallace,NYK,38,6-11,230,North Carolina,USA,1995,1,4,21,7,4,0.3,1.9,3.70%,23.50%,26.10%,48.40%,3.90%
Rashard Lewis,MIA,33,6-10,230,None,USA,1998,2,32,55,5.2,2.2,0.5,-2.1,2.70%,13.40%,17.70%,53.00%,6.30%
Randy Foye,UTA,29,6-4,213,Villanova,USA,2006,1,7,82,10.8,1.5,2,-2.2,0.80%,5.20%,18.00%,55.00%,11.60%
Ramon Sessions,CHA,27,6-3,190,Nevada-Reno,USA,2007,2,56,61,14.4,2.8,3.8,-12,1.50%,8.70%,24.70%,52.90%,26.60%
Rajon Rondo,BOS,27,6-1,186,Kentucky,USA,2006,1,21,38,13.7,5.6,11.1,-2.4,3.20%,12.20%,21.30%,51.60%,49.00%
Quincy Pondexter,MEM,25,6-6,225,Washington,USA,2010,1,26,59,6.4,2.2,1,1.5,3.50%,7.40%,13.40%,56.50%,7.60%
Quincy Miller,DEN,20,6-9,210,Baylor,USA,2012,2,38,7,1.3,0.3,0.4,-8.2,3.20%,3.30%,18.70%,34.90%,14.30%
Quincy Acy,TOR,22,6-7,225,Baylor,USA,2012,2,37,29,4,2.7,0.4,14.8,9.20%,13.50%,14.60%,63.20%,5.10%
Quentin Richardson,NYK,33,6-6,228,DePaul,USA,2000,1,18,1,5,10,1,-15.5,12.20%,14.30%,19.70%,21.00%,5.60%
Perry Jones III,OKC,21,6-11,235,Baylor,USA,2012,1,28,38,2.3,1.6,0.3,-0.5,4.40%,17.20%,19.00%,41.70%,5.70%
Paul Pierce,BOS,35,6-7,235,Kansas,USA,1998,1,10,77,18.6,6.3,4.8,2.6,1.90%,16.90%,27.10%,55.90%,24.50%
Paul Millsap,UTA,28,6-8,253,Louisiana Tech,USA,2006,2,47,78,14.6,7.1,2.6,0.3,7.80%,17.30%,22.70%,55.00%,14.30%
Paul George,IND,23,6-8,221,Fresno State,USA,2010,1,10,79,17.4,7.6,4.1,6.4,3.00%,16.70%,23.10%,53.10%,19.10%
Pau Gasol,LAL,32,7-0,250,None,Spain,2001,1,3,49,13.7,8.6,4.1,2.9,7.00%,17.70%,20.30%,51.20%,19.60%
Patty Mills,SAS,24,6-0,185,St.Mary's College of California,Australia,2009,2,55,58,5.1,0.9,1.1,2.4,1.50%,6.20%,19.30%,59.00%,14.70%
Patrick Patterson,SAC,24,6-9,235,Kentucky,USA,2010,1,14,71,10.4,4.7,1.1,1.4,6.50%,12.70%,17.30%,56.60%,7.00%
Patrick Beverley,HOU,24,6-1,185,Arkansas,USA,2009,2,42,41,5.6,2.7,2.9,7.9,5.90%,8.80%,15.00%,55.10%,26.20%
Pablo Prigioni,NYK,36,6-3,185,None,Argentina,Undrafted,Undrafted,Undrafted,78,3.5,1.8,3,7.3,3.40%,8.90%,11.70%,59.50%,27.70%
P.J. Tucker,PHX,28,6-6,224,Texas-Austin,USA,2006,2,35,79,6.4,4.4,1.4,-3.9,6.70%,11.80%,12.50%,52.50%,8.50%
Orlando Johnson,IND,24,6-5,220,Cal-Santa Barbara,USA,2012,2,36,51,4,2.2,0.9,-0.7,3.30%,13.80%,16.10%,52.30%,13.50%
Omri Casspi,CLE,25,6-9,225,None,Israel,2009,1,23,43,4,2.7,0.7,-3.2,3.60%,19.30%,17.70%,48.60%,9.30%
Omer Asik,HOU,26,7-0,255,None,Turkey,2008,2,36,82,10.1,11.7,0.9,6.4,11.60%,26.90%,16.20%,55.80%,4.60%
O.J. Mayo,DAL,25,6-4,210,Southern California,USA,2008,1,3,82,15.3,3.5,4.4,-1.6,1.30%,8.60%,20.60%,55.60%,19.10%
Norris Cole,MIA,24,6-2,175,Cleveland State,USA,2011,1,28,80,5.6,1.6,2.1,0.1,1.30%,7.10%,16.80%,48.30%,16.50%
Nolan Smith,POR,24,6-2,185,Duke,USA,2011,1,21,40,2.8,0.7,0.9,-1.6,2.30%,6.80%,23.40%,43.50%,22.90%
Nikola Vucevic,ORL,22,7-0,240,Southern California,Montenegro,2011,1,16,77,13.1,11.9,1.9,-8.3,10.70%,25.80%,19.10%,53.40%,9.30%
Nikola Pekovic,MIN,27,6-11,290,None,Montenegro,2008,2,31,62,16.3,8.8,0.9,-0.5,11.50%,17.10%,22.10%,57.20%,4.80%
Nicolas Batum,POR,24,6-8,200,None,France,2008,1,25,73,14.3,5.6,4.9,-2.4,3.60%,11.50%,17.80%,56.60%,19.90%
Nick Young,PHI,28,6-7,210,Southern California,USA,2007,1,16,59,10.6,2.2,1.4,-4.4,1.60%,7.50%,20.50%,52.50%,9.90%
Nick Collison,OKC,32,6-10,255,Kansas,USA,2003,1,12,81,5.1,4.1,1.5,12.5,8.60%,12.80%,11.30%,62.40%,11.20%
Nene,WAS,30,6-11,250,None,Brazil,2002,1,7,61,12.6,6.7,2.9,3.4,6.30%,18.30%,23.30%,53.80%,18.40%
Nazr Mohammed,CHI,35,6-10,250,Kentucky,USA,1998,1,29,63,2.6,3.1,0.4,0.1,10.40%,19.10%,15.00%,41.40%,6.00%
Nate Robinson,CHI,29,5-9,180,Washington,USA,2005,1,21,82,13.1,2.2,4.4,0.6,1.40%,7.70%,24.60%,54.00%,31.20%
Nando De Colo,SAS,26,6-5,200,None,France,2009,2,53,72,3.8,1.9,1.9,-2.1,2.70%,12.20%,16.70%,53.00%,23.30%
Monta Ellis,MIL,27,6-3,185,None,USA,2005,2,40,82,19.2,3.9,6,-0.9,1.30%,8.70%,25.80%,49.30%,26.20%
Mo Williams,UTA,30,6-1,195,Alabama,USA,2003,2,47,46,12.9,2.4,6.2,-2.7,1.70%,6.50%,22.00%,51.90%,32.40%
Mirza Teletovic,BKN,27,6-9,255,None,Bosnia and He...,Undrafted,Undrafted,Undrafted,53,3.5,1.8,0.4,-3,6.50%,13.20%,18.90%,49.50%,8.00%
Miles Plumlee,IND,24,6-11,255,Duke,USA,2012,1,26,14,0.9,1.6,0.1,-10.8,17.40%,14.70%,18.10%,28.60%,6.10%
Mike Scott,ATL,24,6-8,237,Virginia,USA,2012,2,43,40,4.6,2.8,0.3,-5.8,10.30%,18.80%,22.60%,53.30%,5.80%
Mike Miller,MIA,33,6-8,210,Florida,USA,2000,1,5,59,4.8,2.7,1.7,2.4,2.30%,15.30%,14.10%,59.60%,16.70%
Mike James,DAL,38,6-2,188,Duquesne,USA,Undrafted,Undrafted,Undrafted,45,6.1,1.6,3.1,1.9,1.10%,7.10%,18.00%,48.10%,23.60%
Mike Dunleavy,MIL,32,6-9,230,Duke,USA,2002,1,3,75,10.5,3.9,1.9,1.6,1.50%,13.00%,17.00%,57.70%,11.40%
Mike Conley,MEM,25,6-1,185,Ohio State,USA,2007,1,4,80,14.6,2.8,6.1,9.7,1.60%,7.00%,20.50%,54.90%,28.70%
Mickael Pietrus,TOR,31,6-6,215,None,France,2003,1,11,19,5.3,1.9,0.5,-4.3,1.40%,9.00%,14.90%,47.20%,3.40%
Mickael Gelabale,MIN,30,6-7,215,None,France,2005,2,48,36,5,2.8,0.7,-4.8,5.10%,10.80%,11.50%,60.50%,6.40%
Michael Kidd-Gilchrist,CHA,19,6-7,232,Kentucky,USA,2012,1,2,78,9,5.8,1.5,-7.2,6.30%,17.00%,17.50%,50.60%,9.60%
Michael Beasley,PHX,24,6-10,235,Kansas State,USA,2008,1,2,75,10.1,3.8,1.5,-11.5,3.30%,15.30%,27.00%,46.20%,12.50%
Meyers Leonard,POR,21,7-1,245,Illinois,USA,2012,1,11,69,5.5,3.7,0.5,-7.2,7.00%,15.40%,13.70%,59.60%,4.50%
Metta World Peace,LAL,33,6-7,260,St. John's,USA,1999,1,16,75,12.4,5,1.5,4.2,4.00%,10.30%,17.40%,51.70%,6.70%
Maurice Harkless,ORL,20,6-8,210,St. John's,USA,2012,1,15,76,8.2,4.4,0.7,-11.6,6.00%,11.00%,15.60%,50.40%,4.00%
Matt Carroll,CHA,32,6-6,212,Notre Dame,USA,Undrafted,Undrafted,Undrafted,1,0,0,1,-10.9,0.00%,0.00%,0.00%,0.00%,33.30%
Matt Bonner,SAS,33,6-10,235,Florida,USA,2003,2,45,68,4.2,1.9,0.5,4.3,2.90%,11.60%,12.40%,60.90%,5.70%
Matt Barnes,LAC,33,6-7,226,UCLA,USA,2002,2,45,80,10.3,4.6,1.5,7.4,5.60%,12.40%,17.60%,56.60%,9.50%
Marvin Williams,UTA,27,6-9,245,North Carolina,USA,2005,1,2,73,7.2,3.6,1.1,-3,3.20%,12.40%,15.10%,51.50%,7.20%
Martell Webster,WAS,26,6-7,230,None,USA,2005,1,6,76,11.4,3.9,1.9,-0.4,2.40%,11.00%,16.60%,60.10%,10.50%
Marreese Speights,CLE,25,6-10,255,Florida,USA,2008,1,16,79,8.3,4.9,0.6,-4.8,10.90%,19.40%,25.20%,49.80%,6.70%
Marquis Teague,CHI,20,6-2,190,Kentucky,USA,2012,1,29,48,2.1,0.9,1.3,0.3,0.80%,11.00%,18.20%,41.20%,27.50%
Marquis Daniels,MIL,32,6-6,200,Auburn,USA,Undrafted,Undrafted,Undrafted,59,5.5,2.5,1.1,-3.8,3.90%,9.50%,16.60%,43.20%,9.60%
Markieff Morris,PHX,23,6-10,245,Kansas,USA,2011,1,13,82,8.2,4.8,1.3,-9.4,7.00%,15.40%,19.50%,47.30%,9.50%
Mario Chalmers,MIA,27,6-2,190,Kansas,USA,2008,2,34,77,8.6,2.2,3.5,13.7,1.10%,7.60%,15.60%,57.60%,18.30%
Marcus Thornton,SAC,26,6-4,205,Louisiana State,USA,2009,2,43,72,12.7,2.5,1.3,-8.3,2.80%,8.00%,22.80%,55.20%,9.20%
Marcus Morris Sr.,PHX,23,6-9,235,Kansas,USA,2011,1,14,77,7.7,3.6,0.8,-4.1,5.10%,13.00%,18.40%,51.60%,6.80%
Marcus Camby,NYK,39,6-11,240,Massachusetts,USA,1996,1,2,24,1.8,3.3,0.6,-1.9,9.40%,22.90%,14.50%,34.20%,9.60%
Marco Belinelli,CHI,27,6-5,195,None,Italy,2007,1,18,73,9.6,1.9,2,-1.7,0.70%,6.80%,18.40%,51.30%,13.20%
Marcin Gortat,PHX,29,6-11,240,None,Poland,2005,2,57,61,11.1,8.5,1.2,-5.4,6.70%,21.70%,17.10%,54.30%,6.30%
Marc Gasol,MEM,28,7-1,265,None,Spain,2007,2,48,80,14.1,7.8,4,8.2,6.90%,16.60%,19.20%,55.90%,19.00%
MarShon Brooks,BKN,24,6-5,200,Providence,USA,2011,1,25,73,5.4,1.4,1,-3.1,3.60%,8.30%,21.70%,52.30%,15.30%
Manu Ginobili,SAS,35,6-6,205,None,Argentina,1999,2,57,60,11.8,3.4,4.6,8.1,2.30%,11.60%,23.80%,56.00%,30.80%
Malcolm Thomas,CHI,24,6-9,225,San Diego State,USA,Undrafted,Undrafted,Undrafted,12,1.3,1.3,0.3,33.8,8.30%,20.00%,13.30%,55.50%,10.00%
Malcolm Lee,MIN,23,6-5,200,UCLA,USA,2011,2,43,16,4.9,2.4,1.3,2,5.00%,8.80%,14.40%,46.00%,11.10%
Maalik Wayns,LAC,22,6-1,195,Villanova,USA,Undrafted,Undrafted,Undrafted,27,2.8,0.3,1,-14.7,0.50%,3.20%,24.00%,39.40%,23.30%
Luol Deng,CHI,28,6-9,220,Duke,United Kingdo...,2004,1,7,75,16.5,6.3,3,0,5.50%,11.00%,21.00%,50.80%,13.10%
Luke Zeller,PHX,26,6-11,245,Notre Dame,USA,Undrafted,Undrafted,Undrafted,16,1.2,0.6,0.2,-33.1,1.20%,14.50%,18.10%,36.50%,10.30%
Luke Walton,CLE,33,6-8,235,Arizona,USA,2003,2,32,50,3.4,2.9,3.3,-2.5,4.50%,13.50%,13.10%,45.30%,28.60%
Luke Ridnour,MIN,32,6-2,175,Oregon,USA,2003,1,14,82,11.5,2.5,3.8,-3.1,1.60%,7.10%,17.80%,53.20%,21.10%
Luke Babbitt,POR,24,6-9,225,Nevada-Reno,USA,2010,1,16,62,3.9,2.2,0.5,-2.3,2.00%,17.10%,15.60%,50.90%,6.40%
Luis Scola,PHX,33,6-9,245,None,Argentina,2002,2,55,82,12.8,6.6,2.2,-4.8,7.10%,18.50%,22.80%,51.60%,14.00%
Luc Mbah a Moute,MIL,26,6-8,230,UCLA,Cameroon,2008,2,37,58,6.7,4.4,0.9,-3,6.30%,12.10%,16.40%,44.70%,6.30%
Lou Williams,ATL,26,6-1,175,None,USA,2005,2,45,39,14.1,2.1,3.6,-0.2,0.70%,6.50%,23.20%,55.50%,21.80%
Lou Amundson,NOH,30,6-9,225,UNLV,USA,Undrafted,Undrafted,Undrafted,39,1.9,2.7,0.3,-8.5,12.80%,17.70%,14.00%,39.20%,5.10%
Linas Kleiza,TOR,28,6-8,234,Missouri,Lithuania,2005,1,27,20,7.4,2.6,0.8,-6.5,2.60%,11.70%,21.70%,46.00%,7.70%
