PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zaza Pachulia,MIL,30,6-11,275,None,Georgia,2003,2,42,53,7.7,6.3,2.6,-6.4,10.70%,16.20%,16.70%,50.20%,16.00%
Zach Randolph,MEM,32,6-9,260,Michigan State,USA,2001,1,19,79,17.4,10.1,2.5,3,10.20%,21.10%,25.80%,51.00%,12.40%
Xavier Henry,LAL,23,6-6,220,Kansas,USA,2010,1,12,43,10,2.7,1.2,-2.3,2.60%,9.10%,22.30%,51.10%,9.00%
Wilson Chandler,DEN,27,6-8,225,DePaul,USA,2007,1,23,62,13.6,4.7,1.8,-4.5,2.80%,11.90%,19.30%,52.60%,9.30%
Willie Green,LAC,32,6-3,201,Detroit,USA,2003,2,41,55,5,1.4,0.9,4.9,1.40%,7.20%,16.20%,47.70%,9.00%
Will Bynum,DET,31,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,56,8.7,1.8,3.9,-5.6,2.10%,7.10%,23.30%,50.20%,32.70%
Will Barton,POR,23,6-6,175,Memphis,USA,2012,2,40,41,4,1.8,0.8,-1.8,3.90%,13.60%,21.00%,48.80%,14.90%
Wesley Matthews,POR,27,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,82,16.4,3.5,2.4,5.4,1.80%,8.20%,19.30%,58.80%,10.90%
Wesley Johnson,LAL,26,6-7,215,Syracuse,USA,2010,1,4,79,9.1,4.4,1.6,-7.1,3.00%,11.70%,14.90%,52.20%,8.20%
Wayne Ellington,DAL,26,6-4,200,North Carolina,USA,2009,1,28,45,3.2,1,0.4,-4.3,2.00%,9.40%,15.00%,55.40%,6.80%
Vitor Faverani,BOS,26,6-11,260,None,Brazil,Undrafted,Undrafted,Undrafted,37,4.4,3.5,0.4,-8.9,8.70%,17.50%,18.90%,50.20%,5.90%
