PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Boban Marjanovic,LAC,29,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,39,6,3.7,0.6,6.3,15.10%,27.40%,27.60%,61.60%,10.00%
Kristaps Porzingis,NYK,22,7-3,240,None,Latvia,2015,1,4,48,22.7,6.6,1.2,0.4,3.90%,15.40%,30.50%,53.90%,6.30%
Salah Mejri,DAL,32,7-2,235,None,Tunisia,Undrafted,Undrafted,Undrafted,61,3.5,4,0.6,2,11.30%,21.60%,12.60%,64.40%,7.10%
Alex Len,PHX,25,7-1,250,Maryland,Ukraine,2013,1,5,69,8.5,7.5,1.2,-8.6,11.60%,22.80%,16.40%,61.20%,9.30%
Dragan Bender,PHX,20,7-1,225,None,Croatia,2016,1,4,82,6.5,4.4,1.6,-10.3,1.80%,14.90%,12.50%,52.40%,8.90%
Georgios Papagiannis,POR,20,7-1,240,None,Greece,2016,1,13,17,2.1,2.2,0.5,-3.7,10.00%,21.60%,17.00%,42.90%,9.70%
Ivica Zubac,LAL,21,7-1,240,None,Croatia,2016,2,32,43,3.7,2.9,0.6,5,10.10%,16.80%,17.20%,55.70%,9.50%
Luke Kornet,NYK,22,7-1,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,20,6.7,3.2,1.3,-9.3,3.20%,15.80%,18.90%,51.60%,11.40%
Marc Gasol,MEM,33,7-1,255,None,Spain,2007,2,48,73,17.2,8.1,4.2,-6.9,3.30%,22.50%,25.50%,53.20%,22.50%
Meyers Leonard,POR,26,7-1,255,Illinois,USA,2012,1,11,33,3.4,2.1,0.5,-8.8,4.70%,25.10%,15.50%,67.60%,11.00%
Rudy Gobert,UTA,26,7-1,245,None,France,2013,1,27,56,13.5,10.7,1.4,9.4,9.30%,23.40%,16.30%,65.70%,6.80%
Thon Maker,MIL,21,7-1,223,None,South Sudan,2016,1,10,74,4.8,3,0.6,-5,6.40%,13.00%,14.70%,49.90%,5.50%
Timofey Mozgov,BKN,31,7-1,275,None,Russia,Undrafted,Undrafted,Undrafted,31,4.2,3.2,0.4,-12.8,8.30%,17.80%,16.10%,61.70%,5.00%
Tyson Chandler,PHX,35,7-1,240,None,USA,2001,1,2,46,6.5,9.1,1.2,-10.2,10.90%,24.10%,10.50%,65.80%,6.50%
Zhou Qi,HOU,22,7-1,210,None,China,2016,2,43,18,1.2,1.2,0.1,-26.1,4.20%,11.60%,16.30%,29.50%,2.80%
Andrew Bogut,LAL,33,7-0,260,Utah,Australia,2005,1,1,24,1.5,3.3,0.6,-5.1,10.40%,22.30%,8.50%,69.60%,9.90%
Brook Lopez,LAL,30,7-0,268,Stanford,USA,2008,1,10,74,13,4,1.7,-2.3,4.10%,12.00%,23.00%,55.70%,11.30%
Cody Zeller,CHA,25,7-0,240,Indiana,USA,2013,1,4,33,7.1,5.4,0.9,2.1,9.70%,18.40%,15.20%,60.20%,7.50%
Dakari Johnson,OKC,22,7-0,255,Kentucky,USA,2015,2,48,31,1.8,1.1,0.3,10.9,9.90%,11.10%,13.90%,57.50%,8.30%
Damian Jones,GSW,23,7-0,245,Vanderbilt,USA,2016,1,30,15,1.7,0.9,0.1,0.5,6.00%,9.30%,14.30%,51.70%,3.70%
Dewayne Dedmon,ATL,28,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,62,10,7.9,1.5,-5.1,6.50%,24.90%,16.60%,59.90%,9.00%
Dirk Nowitzki,DAL,40,7-0,245,None,Germany,1998,1,9,77,12,5.7,1.6,-2,1.20%,22.70%,19.90%,57.50%,9.80%
Frank Kaminsky,CHA,25,7-0,242,Wisconsin,USA,2015,1,9,79,11.1,3.6,1.6,-2.3,2.30%,13.90%,20.20%,54.50%,11.30%
Hassan Whiteside,MIA,29,7-0,265,Marshall,USA,2010,2,33,54,14,11.4,1,-2.8,12.10%,31.70%,23.50%,57.30%,6.80%
JaVale McGee,GSW,30,7-0,270,Nevada-Reno,USA,2008,1,18,65,4.8,2.6,0.5,2.6,10.10%,16.60%,18.30%,64.10%,8.00%
Jakob Poeltl,TOR,22,7-0,230,Utah,Austria,2016,1,9,82,6.9,4.8,0.7,8.3,10.70%,15.00%,14.30%,66.20%,5.40%
Jason Smith,WAS,32,7-0,240,Colorado State,USA,2007,1,20,33,3.4,1.6,0.4,-15.8,6.00%,12.20%,20.40%,45.50%,8.40%
Jeff Withey,DAL,28,7-0,230,Kansas,USA,2013,2,39,10,1.5,1,0,25,2.30%,22.00%,20.00%,44.40%,0.00%
Joel Embiid,PHI,24,7-0,250,Kansas,Cameroon,2014,1,3,63,22.9,11,3.2,11.7,7.80%,25.50%,33.00%,57.30%,18.20%
Jonas Valanciunas,TOR,26,7-0,255,None,Lithuania,2011,1,5,77,12.7,8.6,1.1,5.6,10.60%,26.30%,22.20%,62.80%,7.50%
Justin Patton,MIN,21,7-0,236,Creighton,USA,2017,1,16,1,2,0,0,30,0.00%,0.00%,20.00%,50.00%,0.00%
Jusuf Nurkic,POR,23,7-0,280,None,Bosnia and He...,2014,1,16,79,14.3,9,1.8,3.6,8.70%,23.70%,25.70%,52.80%,11.50%
Karl-Anthony Towns,MIN,22,7-0,248,Kentucky,USA,2015,1,1,82,21.3,12.3,2.4,6.1,8.50%,27.20%,22.50%,64.60%,10.50%
Kelly Olynyk,MIA,27,7-0,245,Gonzaga,Canada,2013,1,13,76,11.5,5.7,2.7,5.3,5.20%,20.00%,21.30%,61.20%,18.00%
Kosta Koufos,SAC,29,7-0,265,Ohio State,USA,2008,1,23,71,6.7,6.6,1.2,-8,10.00%,23.60%,15.00%,56.60%,10.00%
Lauri Markkanen,CHI,21,7-0,230,Arizona,Finland,2017,1,7,68,15.2,7.5,1.2,-9,3.70%,21.70%,21.50%,55.20%,6.40%
Lucas Nogueira,TOR,25,7-0,220,None,Brazil,2013,1,16,49,2.5,1.8,0.4,9.3,4.40%,16.00%,11.40%,66.10%,7.40%
Marshall Plumlee,MIL,25,7-0,250,Duke,USA,Undrafted,Undrafted,Undrafted,8,1.8,2.1,0.3,1.5,7.40%,24.50%,11.10%,69.70%,6.30%
Nikola Vucevic,ORL,27,7-0,260,Southern California,Montenegro,2011,1,16,57,16.5,9.2,3.4,-1.3,5.90%,24.90%,25.20%,53.30%,18.40%
Omer Asik,CHI,31,7-0,255,None,Turkey,2008,2,36,18,1.2,2.6,0.2,-6.4,5.40%,20.80%,9.00%,39.70%,2.00%
Pau Gasol,SAS,37,7-0,250,None,Spain,2001,1,3,77,10.1,8,3.1,1,6.90%,25.60%,20.10%,53.90%,20.80%
Robin Lopez,CHI,30,7-0,277,Stanford,USA,2008,1,15,64,11.8,4.5,1.9,-6.1,7.40%,9.30%,20.30%,55.20%,11.90%
Steven Adams,OKC,24,7-0,255,Pittsburgh,New Zealand,2013,1,12,76,13.9,9,1.2,6.4,14.20%,12.30%,16.00%,63.00%,5.10%
Tyler Zeller,MIL,28,7-0,250,North Carolina,USA,2012,1,17,66,6.7,4.6,0.7,0.8,9.40%,16.80%,15.70%,59.80%,6.30%
Willie Cauley-Stein,SAC,24,7-0,240,Kentucky,USA,2015,1,6,73,12.8,7,2.4,-7.8,6.40%,19.70%,21.50%,52.90%,13.50%
Zach Collins,POR,20,7-0,230,Gonzaga,USA,2017,1,10,66,4.4,3.3,0.8,1.3,4.40%,16.30%,15.30%,47.50%,7.00%
Andre Drummond,DET,24,6-11,279,Connecticut,USA,2012,1,9,78,15,16,3,-1,14.50%,32.90%,20.70%,55.50%,14.00%
Ante Zizic,CLE,21,6-11,250,None,Croatia,2016,1,23,32,3.7,1.9,0.2,-9.1,11.20%,17.90%,17.10%,74.60%,3.90%
Bobby Portis,CHI,23,6-11,248,Arkansas,USA,2015,1,22,73,13.2,6.8,1.7,-2.1,8.90%,20.70%,25.00%,54.80%,12.60%
Channing Frye,LAL,35,6-11,255,Arizona,USA,2005,1,8,53,5,2.5,0.7,8.2,1.90%,16.40%,15.10%,59.90%,7.70%
Cole Aldrich,MIN,29,6-11,253,Kansas,USA,2010,1,11,21,0.6,0.7,0.1,-1.8,5.70%,28.60%,15.10%,34.00%,8.10%
DeAndre Jordan,LAC,29,6-11,265,Texas A&M,USA,2008,2,35,77,12,15.2,1.5,-2.4,13.20%,33.90%,15.10%,64.80%,7.40%
DeMarcus Cousins,NOP,27,6-11,270,Kentucky,USA,2010,1,5,48,25.2,12.9,5.4,1.9,6.50%,29.20%,31.80%,58.30%,24.10%
Deyonta Davis,MEM,21,6-11,237,Michigan State,USA,2016,2,31,62,5.8,4,0.6,-8.3,7.80%,18.20%,14.40%,62.10%,6.80%
Dwight Howard,CHA,32,6-11,265,None,USA,2004,1,1,81,16.6,12.5,1.3,1.4,10.10%,29.50%,23.80%,57.70%,6.90%
Dwight Powell,DAL,26,6-11,240,Stanford,Canada,2014,2,45,79,8.5,5.6,1.2,0.9,8.00%,19.00%,15.10%,65.60%,8.50%
