PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Enes Freedom,NYK,26,6-11,245,None,Turkey,2011,1,3,71,14.1,11,1.5,-4.9,14.60%,27.90%,21.20%,63.00%,9.10%
Giannis Antetokounmpo,MIL,23,6-11,222,None,Greece,2013,1,15,75,26.9,10,4.8,2.8,6.00%,21.80%,30.70%,59.80%,23.70%
Gorgui Dieng,MIN,28,6-11,251,Louisville,Senegal,2013,1,21,79,5.9,4.6,0.9,-6.6,7.80%,20.10%,15.90%,54.30%,8.00%
Greg Monroe,BOS,28,6-11,265,Georgetown,USA,2010,1,7,51,10.3,6.9,2.2,-9.6,10.40%,24.40%,21.80%,59.80%,18.90%
Henry Ellenson,DET,21,6-11,245,Marquette,USA,2016,1,18,38,4,2.1,0.5,0.5,2.90%,20.80%,23.30%,47.60%,9.80%
Ian Mahinmi,WAS,31,6-11,262,None,France,2005,1,28,77,4.8,4.1,0.7,1.4,11.80%,15.60%,15.00%,60.10%,6.80%
Jahlil Okafor,BKN,22,6-11,260,Duke,USA,2015,1,3,28,6.3,3,0.4,-22.6,5.80%,19.00%,21.60%,58.40%,7.00%
Jarrett Allen,BKN,20,6-11,234,Texas-Austin,USA,2017,1,22,72,8.2,5.4,0.7,-4.1,9.60%,15.70%,16.20%,63.60%,5.50%
Joakim Noah,NYK,33,6-11,230,Florida,USA,2007,1,9,7,1.7,2,0.6,-1.9,12.80%,20.00%,16.20%,51.00%,20.00%
Joffrey Lauvergne,SAS,26,6-11,260,None,France,2013,2,55,55,4.1,3.1,0.7,-5.8,11.80%,20.70%,19.20%,53.60%,12.10%
John Henson,MIL,27,6-11,229,North Carolina,USA,2012,1,14,76,8.8,6.8,1.5,4.9,8.30%,18.50%,14.90%,58.20%,8.30%
LaMarcus Aldridge,SAS,32,6-11,260,Texas-Austin,USA,2006,1,2,75,23.1,8.5,2,5.4,9.80%,15.60%,28.80%,57.00%,11.10%
Marcin Gortat,WAS,34,6-11,240,None,Poland,2005,2,57,82,8.4,7.6,1.8,2.1,8.90%,21.30%,15.30%,54.60%,10.30%
Mason Plumlee,DEN,28,6-11,255,Duke,USA,2013,1,22,74,7.1,5.4,1.9,-0.7,9.20%,18.20%,16.10%,58.60%,14.50%
Maxi Kleber,DAL,26,6-11,220,None,Germany,Undrafted,Undrafted,Undrafted,72,5.4,3.3,0.7,-3.6,5.50%,13.70%,13.50%,57.60%,6.60%
Mike Muscala,ATL,26,6-11,240,Bucknell,USA,2013,2,44,53,7.6,4.3,1,-4.4,4.90%,15.20%,14.90%,59.70%,7.40%
Miles Plumlee,ATL,29,6-11,249,Duke,USA,2012,1,26,55,4.3,4.1,0.8,-7.3,8.20%,16.00%,12.70%,57.40%,7.40%
Myles Turner,IND,22,6-11,255,Texas-Austin,USA,2015,1,11,65,12.7,6.4,1.3,3,5.20%,17.40%,19.90%,56.70%,7.10%
Nene,HOU,35,6-11,250,None,Brazil,2002,1,7,52,6.5,3.4,0.9,17.1,7.40%,15.60%,18.30%,59.40%,9.30%
Nerlens Noel,DAL,24,6-11,220,Kentucky,USA,2013,1,6,30,4.4,5.6,0.7,-12.3,9.20%,27.30%,13.10%,55.80%,7.00%
Skal Labissiere,SAC,22,6-11,225,Kentucky,Haiti,2016,1,28,60,8.7,4.8,1.2,-4.3,7.80%,15.70%,20.40%,51.30%,8.80%
Willie Reed,DET,28,6-11,245,St. Louis,USA,2011,0,0,42,4.6,2.9,0.2,2.8,8.00%,20.50%,15.90%,67.10%,3.50%
Willy Hernangomez,CHA,24,6-11,240,None,Spain,2015,2,35,48,5.1,3.8,0.7,0.1,11.50%,24.80%,20.30%,60.40%,10.90%
Zaza Pachulia,GSW,34,6-11,270,None,Georgia,2003,2,42,69,5.4,4.7,1.6,9.4,10.00%,22.30%,16.50%,61.20%,14.10%
Adreian Payne,ORL,27,6-10,237,Michigan State,USA,2014,1,15,5,4.2,1.8,0,-12.4,4.40%,22.60%,15.50%,83.10%,0.00%
Al Horford,BOS,32,6-10,245,Florida,Dominican Rep...,2007,1,3,72,12.9,7.4,4.7,7.3,4.70%,17.80%,18.30%,57.50%,22.50%
Al Jefferson,IND,33,6-10,280,None,USA,2004,1,15,36,7,4,0.8,-1.8,6.10%,22.70%,21.80%,56.30%,9.80%
Anthony Davis,NOP,25,6-10,253,Kentucky,USA,2012,1,1,75,28.1,11.1,2.3,5,7.00%,21.30%,29.10%,61.20%,10.40%
Aron Baynes,BOS,31,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,6,5.4,1.1,6.5,8.60%,19.60%,16.60%,50.20%,9.50%
Bam Adebayo,MIA,20,6-10,255,Kentucky,USA,2017,1,14,69,6.9,5.5,1.5,-0.6,8.60%,19.40%,15.70%,57.00%,11.50%
Ben Simmons,PHI,21,6-10,230,Louisiana State,Australia,2016,1,1,81,15.8,8.1,8.2,6.6,5.30%,17.10%,21.90%,55.70%,36.20%
Blake Griffin,DET,29,6-10,251,Oklahoma,USA,2009,1,1,58,21.4,7.4,5.8,1.9,3.60%,17.50%,28.50%,54.40%,28.60%
Brandan Wright,HOU,30,6-10,235,North Carolina,USA,2007,1,8,28,5,3.4,0.5,5.3,8.60%,16.10%,14.00%,59.60%,5.60%
Brice Johnson,MEM,24,6-10,230,North Carolina,USA,2016,1,25,18,2.4,1.7,0.1,-2.3,8.00%,22.70%,19.30%,48.60%,3.00%
Chandler Parsons,MEM,29,6-10,230,Florida,USA,2011,2,38,36,7.9,2.5,1.9,-6,2.10%,11.70%,18.00%,57.80%,15.80%
Chinanu Onuaku,HOU,21,6-10,245,Louisville,USA,2016,2,37,1,4,4,1,-17.6,4.50%,13.60%,18.20%,40.00%,10.00%
Chris Boucher,GSW,25,6-10,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,1,0,1,0,-100,0.00%,100%,33.30%,0.00%,0.00%
Clint Capela,HOU,24,6-10,240,None,Switzerland,2014,1,25,74,13.9,10.8,0.9,9.3,11.90%,27.80%,19.00%,65.00%,5.50%
D.J. Wilson,MIL,22,6-10,236,Michigan,USA,2017,1,17,22,1,0.5,0.1,-30.7,2.90%,15.70%,12.70%,62.20%,7.50%
Danilo Gallinari,LAC,29,6-10,225,None,Italy,2008,1,6,21,15.3,4.8,2,0.3,1.30%,13.30%,20.50%,54.50%,9.70%
Dario Saric,PHI,24,6-10,223,None,Croatia,2014,1,12,78,14.6,6.7,2.6,5.9,6.70%,14.70%,20.40%,58.20%,12.90%
Davis Bertans,SAS,25,6-10,210,None,Latvia,2011,2,42,77,5.9,2,1,3.5,1.70%,12.20%,16.80%,58.80%,10.20%
Derrick Favors,UTA,26,6-10,265,Georgia Tech,USA,2010,1,3,77,12.3,7.2,1.3,3.6,9.70%,16.70%,18.10%,59.30%,7.50%
Domantas Sabonis,IND,22,6-10,252,Gonzaga,Lithuania,2016,1,11,74,11.6,7.7,2,1.4,9.30%,22.70%,21.40%,56.70%,12.70%
Ed Davis,POR,29,6-10,245,North Carolina,USA,2010,1,13,78,5.3,7.4,0.5,4.1,12.10%,25.40%,12.00%,60.70%,3.90%
Ekpe Udoh,UTA,31,6-10,245,Baylor,USA,2010,1,6,63,2.6,2.4,0.8,3.3,8.60%,10.50%,8.90%,56.00%,9.30%
Emeka Okafor,NOP,35,6-10,255,Connecticut,USA,2004,1,2,26,4.4,4.6,0.3,0.3,12.00%,17.50%,13.30%,54.50%,2.80%
Eric Moreland,DET,26,6-10,238,Oregon State,USA,Undrafted,Undrafted,Undrafted,67,2.1,4.1,1.2,1.1,9.60%,24.30%,9.70%,53.10%,14.10%
Ersan Ilyasova,PHI,31,6-10,235,None,Turkey,2005,2,36,69,10.9,5.9,1.3,0.9,6.70%,16.10%,18.30%,55.80%,7.80%
Ike Anigbogu,IND,19,6-10,262,UCLA,USA,2017,2,47,11,1.2,0.8,0,-25.5,15.20%,13.80%,17.90%,55.80%,0.00%
Ivan Rabb,MEM,21,6-10,220,"University of California, Berkeley",USA,2017,2,35,36,5.6,4.4,0.9,-8.4,10.20%,21.60%,16.70%,59.90%,9.50%
Jack Cooley,SAC,27,6-10,274,Notre Dame,USA,Undrafted,Undrafted,Undrafted,7,5.7,4.3,0.9,-4.6,13.10%,18.40%,18.50%,56.60%,12.80%
Jarell Martin,MEM,24,6-10,239,Louisiana State,USA,2015,1,25,73,7.7,4.4,1,-7.6,5.70%,13.90%,16.80%,51.60%,7.30%
John Collins,ATL,20,6-10,235,Wake Forest,USA,2017,1,19,74,10.5,7.3,1.3,-6.2,9.40%,20.10%,17.40%,62.00%,9.00%
Johnathan Motley,DAL,23,6-10,230,Baylor,USA,Undrafted,Undrafted,Undrafted,11,8.7,4.5,0.6,-3.4,7.10%,20.00%,24.00%,55.00%,7.80%
Jon Leuer,DET,29,6-10,228,Wisconsin,USA,2011,2,40,8,5.4,4,0.6,1.8,4.90%,17.90%,15.10%,50.50%,5.10%
Jonas Jerebko,UTA,31,6-10,231,None,Sweden,2009,2,39,74,5.8,3.3,0.6,1.7,4.80%,17.50%,15.10%,58.60%,5.70%
Jonathan Isaac,ORL,20,6-10,210,Florida State,USA,2017,1,6,27,5.4,3.7,0.7,-8.6,2.90%,14.10%,14.90%,46.50%,5.30%
Josh McRoberts,DAL,31,6-10,240,Duke,USA,2007,2,37,2,0,0,0,-14.3,0.00%,0.00%,7.10%,0.00%,0.00%
Kendrick Perkins,CLE,33,6-10,270,None,USA,2003,1,27,1,3,1,2,18.4,0.00%,9.10%,11.80%,52.10%,18.20%
Kevin Love,CLE,29,6-10,251,UCLA,USA,2008,1,5,59,17.6,9.3,1.7,1.4,6.50%,27.40%,24.80%,61.40%,9.90%
Kyle O'Quinn,NYK,28,6-10,250,Norfolk State,USA,2012,2,49,77,7.1,6.1,2.1,-1.1,9.00%,24.20%,16.80%,62.50%,16.60%
Mangok Mathiang,CHA,25,6-10,230,Louisville,Australia,Undrafted,Undrafted,Undrafted,4,2,2.5,0,0.1,13.60%,33.30%,13.70%,53.80%,0.00%
Markieff Morris,WAS,28,6-10,245,Kansas,USA,2011,1,13,73,11.5,5.6,1.9,0.7,4.00%,17.30%,19.40%,56.60%,10.70%
Marquese Chriss,PHX,20,6-10,240,Washington,USA,2016,1,8,72,7.7,5.5,1.2,-8.4,4.60%,20.00%,17.60%,50.90%,8.10%
Marreese Speights,ORL,30,6-10,255,Florida,USA,2008,1,16,52,7.7,2.6,0.8,1.6,3.00%,15.20%,26.50%,53.90%,10.40%
Matt Costello,SAS,24,6-10,240,Michigan State,USA,Undrafted,Undrafted,Undrafted,4,1,2.3,0.5,26.6,4.00%,27.60%,7.10%,50.00%,7.10%
Nemanja Bjelica,MIN,30,6-10,230,None,Serbia,2010,2,35,67,6.8,4.1,1.3,0,3.90%,16.40%,13.90%,58.10%,8.80%
Nick Collison,OKC,37,6-10,255,Kansas,USA,2003,1,12,15,2.1,1.3,0.3,-3.2,8.60%,17.60%,18.10%,62.70%,8.70%
Nikola Jokic,DEN,23,6-10,250,None,Serbia,2014,2,41,75,18.5,10.7,6.1,6.2,8.10%,25.40%,23.80%,60.30%,28.60%
Nikola Mirotic,NOP,27,6-10,238,None,Montenegro,2011,1,23,55,15.6,7.4,1.5,4.2,3.80%,21.30%,22.30%,57.70%,7.90%
Richaun Holmes,PHI,24,6-10,235,Bowling Green,USA,2015,2,37,48,6.5,4.4,1.3,-1.6,7.40%,18.20%,15.90%,58.50%,12.20%
Ryan Anderson,HOU,30,6-10,240,California,USA,2008,1,21,66,9.3,5,0.9,6.9,5.40%,13.90%,14.10%,59.20%,5.00%
Serge Ibaka,TOR,28,6-10,235,None,Republic of t...,2008,1,24,76,12.6,6.3,0.8,6.8,3.70%,18.30%,18.90%,57.40%,4.40%
T.J. Leaf,IND,21,6-10,230,UCLA,USA,2017,1,18,53,2.9,1.5,0.2,-11.7,5.80%,11.90%,13.60%,54.50%,2.80%
Thomas Bryant,LAL,20,6-10,248,Indiana,USA,2017,2,42,15,1.5,1.1,0.4,-5.9,4.10%,19.70%,16.10%,44.10%,12.80%
Tony Bradley,UTA,20,6-10,248,North Carolina,USA,2017,1,28,9,0.9,1.2,0.1,-2.9,10.50%,25.00%,15.80%,33.70%,5.60%
Travis Wear,LAL,27,6-10,225,UCLA,USA,Undrafted,Undrafted,Undrafted,17,4.4,2.2,0.4,2.1,0.00%,16.30%,15.20%,49.70%,4.50%
Trey Lyles,DEN,22,6-10,234,Kentucky,Canada,2015,1,12,73,9.9,4.8,1.2,-0.2,3.90%,21.50%,20.50%,59.10%,10.50%
Aaron Gordon,ORL,22,6-9,220,Arizona,USA,2014,1,4,58,17.6,7.9,2.3,-2,4.40%,19.10%,23.80%,53.00%,11.10%
Al-Farouq Aminu,POR,27,6-9,220,Wake Forest,USA,2010,1,8,69,9.3,7.6,1.2,5.2,4.50%,19.80%,14.50%,52.20%,5.60%
Alec Peters,PHX,23,6-9,235,Valparaiso,USA,2017,2,54,20,4.1,1.9,0.6,7.3,3.20%,12.00%,15.10%,52.30%,7.30%
Alex Poythress,IND,24,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,25,1,0.7,0.1,-13,6.10%,10.20%,11.20%,50.00%,2.60%
Amir Johnson,PHI,31,6-9,240,No College,USA,2005,2,56,74,4.6,4.5,1.6,1.5,10.20%,16.90%,12.50%,57.50%,13.70%
Bismack Biyombo,ORL,25,6-9,255,None,DRC,2011,1,7,82,5.7,5.7,0.8,-13.6,9.10%,20.90%,14.60%,55.60%,7.00%
Brandon Ingram,LAL,20,6-9,190,Duke,USA,2016,1,2,59,16.1,5.3,3.9,-2.7,2.70%,12.10%,21.80%,53.60%,17.70%
Bruno Caboclo,SAC,22,6-9,205,None,Brazil,2014,1,20,12,2.2,1.8,0.3,2.4,6.20%,14.60%,15.20%,38.60%,5.60%
Cheick Diallo,NOP,21,6-9,220,Kansas,Mali,2016,2,33,52,4.9,4.1,0.4,-7.4,7.90%,26.20%,16.80%,61.90%,4.80%
Chris McCullough,WAS,23,6-9,215,Syracuse,USA,2015,1,29,19,2.4,1.3,0.2,-12.2,7.00%,18.70%,21.90%,47.80%,8.20%
Corey Brewer,OKC,32,6-9,186,Florida,USA,2007,1,7,72,5.3,2.1,0.9,-2.3,3.30%,8.90%,13.60%,53.40%,7.30%
Cristiano Felicio,CHI,25,6-9,280,None,Brazil,Undrafted,Undrafted,Undrafted,55,5.6,4.2,1,-16.4,7.60%,15.80%,13.30%,61.40%,9.30%
Daniel Theis,BOS,26,6-9,243,None,Germany,Undrafted,Undrafted,Undrafted,63,5.3,4.3,0.9,1.2,9.20%,18.90%,15.00%,61.60%,9.90%
Darrell Arthur,DEN,30,6-9,235,Kansas,USA,2008,1,27,19,2.8,0.8,0.5,-10.5,2.10%,8.70%,18.80%,55.90%,10.10%
David West,GSW,37,6-9,250,Xavier,USA,2003,1,18,73,6.8,3.3,1.9,1.9,7.20%,16.30%,22.30%,60.00%,22.00%
Isaiah Hicks,NYK,23,6-9,242,North Carolina,USA,Undrafted,Undrafted,Undrafted,18,4.4,2.3,0.9,-7.7,4.10%,11.80%,17.50%,50.10%,9.80%
JaKarr Sampson,SAC,25,6-9,207,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted,22,4.7,3.5,0.4,-0.1,5.80%,16.10%,12.40%,58.50%,4.10%
JaMychal Green,MEM,28,6-9,227,Alabama,USA,Undrafted,Undrafted,Undrafted,55,10.3,8.4,1.4,-8,9.60%,21.80%,17.80%,53.00%,8.20%
Jake Layman,POR,24,6-9,210,Maryland,USA,2016,2,47,35,1,0.5,0.3,-11.5,2.40%,7.80%,13.90%,35.20%,9.90%
James Michael McAdoo,PHI,25,6-9,230,North Carolina,USA,Undrafted,Undrafted,Undrafted,3,2.7,0.7,0,2.6,0.00%,12.50%,22.00%,50.80%,0.00%
James Webb III,BKN,24,6-9,202,Boise State,USA,2016,,,10,1.6,2.4,0.4,-13.3,5.90%,13.80%,9.90%,33.30%,4.40%
Jeff Green,CLE,31,6-9,235,Georgetown,USA,2007,1,5,78,10.8,3.2,1.3,3.7,3.40%,9.50%,19.00%,58.70%,8.10%
Jerami Grant,OKC,24,6-9,220,Syracuse,USA,2014,2,39,81,8.4,3.9,0.7,1.7,5.00%,14.00%,16.10%,60.70%,5.50%
Jeremy Evans,ATL,30,6-9,200,Western Kentucky,USA,2010,2,55,1,2,1,0,-23.1,14.30%,0.00%,14.30%,100%,0.00%
Joel Bolomboy,MIL,24,6-9,235,Weber State,Ukraine,2016,2,52,6,1.5,1.7,0,-18.1,13.30%,12.10%,11.50%,52.10%,0.00%
Johnny O'Bryant III,CHA,25,6-9,257,Louisiana State,USA,2014,2,36,36,4.8,2.6,0.4,-10.7,6.30%,17.30%,21.90%,47.00%,6.70%
Jordan Bell,GSW,23,6-9,224,Oregon,USA,2017,2,38,57,4.6,3.6,1.8,8.9,8.20%,16.20%,13.40%,64.10%,16.60%
Josh Smith,NOP,32,6-9,225,None,USA,2004,1,17,3,0.7,1.3,0,-34.3,13.60%,10.00%,11.80%,25.00%,0.00%
Juancho Hernangomez,DEN,22,6-9,230,None,Spain,2016,1,15,25,3.3,2.2,0.5,-4.2,6.20%,13.90%,13.40%,51.10%,6.00%
Julius Randle,LAL,23,6-9,250,Kentucky,USA,2014,1,7,82,16.1,8,2.6,-1.4,8.20%,20.20%,25.10%,60.60%,15.80%
Kevin Durant,GSW,29,6-9,240,Texas-Austin,USA,2007,1,2,68,26.4,6.8,5.4,7,1.50%,16.90%,29.30%,64.00%,24.30%
Kevon Looney,GSW,22,6-9,220,UCLA,USA,2015,1,30,66,4,3.3,0.6,6.1,9.40%,13.50%,12.10%,58.80%,6.20%
Khem Birch,ORL,25,6-9,220,UNLV,Canada,Undrafted,Undrafted,Undrafted,42,4.2,4.3,0.8,0.8,11.40%,19.10%,13.10%,58.20%,8.80%
Kyle Anderson,SAS,24,6-9,230,UCLA,USA,2014,1,30,74,7.9,5.4,2.7,3.3,4.30%,15.80%,13.30%,58.20%,14.60%
Kyle Kuzma,LAL,22,6-9,220,Utah,USA,2017,1,27,77,16.1,6.3,1.8,-2.2,3.50%,15.40%,21.90%,54.90%,9.10%
Larry Nance Jr.,CLE,25,6-9,230,Wyoming,USA,2015,1,27,66,8.7,6.8,1.2,1,10.70%,19.90%,15.50%,60.50%,8.50%
Luke Babbitt,MIA,29,6-9,225,Nevada-Reno,USA,2010,1,16,50,5.2,1.9,0.6,-2.7,1.00%,12.30%,14.70%,57.60%,6.40%
