PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Sasha Vujacic,NYK,32,6-7,195,None,Slovenia,2004,1,27,61,4.9,2.4,1.4,-1.4,2.60%,13.20%,15.90%,50.30%,14.60%
Sergey Karasev,BKN,22,6-7,208,None,Russia,2013,1,19,40,2.4,1.5,0.9,0.3,2.20%,13.10%,11.70%,56.20%,11.40%
Shaun Livingston,GSW,30,6-7,192,None,USA,2004,1,4,78,6.3,2.2,3,6.8,2.80%,7.80%,14.00%,58.10%,22.20%
Solomon Hill,IND,25,6-7,225,Arizona,USA,2013,1,23,59,4.2,2.8,1,3.7,4.30%,13.60%,12.80%,54.30%,9.30%
Stanley Johnson,DET,20,6-7,245,Arizona,USA,2015,1,8,73,8.1,4.2,1.6,-3.6,3.10%,14.70%,19.10%,46.00%,11.30%
Terrence Ross,TOR,25,6-7,195,Washington,USA,2012,1,8,73,9.9,2.5,0.8,6,1.20%,9.20%,17.80%,55.10%,5.30%
Thabo Sefolosha,ATL,32,6-7,220,None,Switzerland,2006,1,13,75,6.4,4.5,1.4,1.5,3.00%,15.00%,12.10%,57.90%,9.30%
Thanasis Antetokounmpo,NYK,23,6-7,205,None,Greece,2014,2,51,2,3,0.5,0,-35.2,0.00%,11.10%,28.60%,75.00%,0.00%
Tony Snell,CHI,24,6-7,200,New Mexico,USA,2013,1,20,64,5.3,3.1,1,4.1,1.40%,11.70%,13.40%,47.80%,7.00%
Wesley Johnson,LAC,28,6-7,215,Syracuse,USA,2010,1,4,80,6.9,3.1,0.6,2.7,2.20%,12.10%,15.30%,51.30%,4.50%
Aaron Harrison,CHA,21,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,-3.4,4.50%,11.20%,13.20%,37.10%,3.30%
Alan Anderson,WAS,33,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,5,2.1,1.1,8.2,0.50%,13.10%,15.10%,49.50%,11.20%
Alec Burks,UTA,24,6-6,214,Colorado,USA,2011,1,12,31,13.3,3.5,2,0.5,1.90%,12.10%,24.60%,52.00%,14.00%
Allen Crabbe,POR,24,6-6,210,California,USA,2013,2,31,81,10.3,2.7,1.2,1,1.20%,8.60%,15.90%,57.20%,7.20%
Alonzo Gee,NOP,29,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,73,4.5,3.4,1,-4.4,3.50%,11.10%,9.10%,57.20%,6.30%
